BOTTLE,20131114PRINUNIVRMK
# 11/12/13 Initialized README file 					 
# Data source: A.Rios, revised 11/14/2013				 
# SHIP: HESPERIDES					 
# Cruise: FICARAM_XV					 
# Region: Atlantic Ocean; A17 extended north to Gibralter 
# EXPOCODE: 29HE20130320					 
# DATES: 3/20 - 5/22/2013 					 
# Chief Scientist: A.F. Rios					 
# 108 stations with 24 place Rosette 
# Hydro: Who - Fiz F. Perez/Jose Luis Pelegri; Status - final 
# 	Notes:	CTDSAL only			 
# Nuts: Mercedes de la Paz/ Fernando Alonso/Elena Royo; Status - final	 
# 	Notes: 				 
# O2: Who - Anton Velo/Maribel Garcia-Ibañez; Status - final			 
# 	Notes: 				 
# TA: Who - Fiz F. Perez/A. Velo/Maribel Garcia-Ibañez  ; Status - final		 
# 	Notes: 				 
# pH: Who - Fiz F. Perez/Xose A. Padin/Maribel Garcia-Ibañez; Status - final 
# 	Notes: SWS @ 25C						 
# References:					 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  29HE20130320,     1,  1,      1,2,20130323,1143,-50.7090, -57.0020,  347,    331.6,   4.5240,  34.0753,2,    275.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2269.8,2,-999.0000,9,  -999.00,   4.4995
  29HE20130320,     1,  1,      2,2,20130323,1143,-50.7090, -57.0020,  347,    332.2,   4.5136,  34.0760,2,    274.8,2,    274.9,2,    13.22,2,    24.94,2,     1.52,2,   2269.9,2,-999.0000,9,  -999.00,   4.4890
  29HE20130320,     1,  1,      3,2,20130323,1143,-50.7090, -57.0020,  347,    300.0,   4.9767,  34.0292,2,    281.1,2,    280.5,2,     9.54,2,    23.80,2,     1.53,2,   2265.7,2,   7.6964,2,    25.00,   4.9535
  29HE20130320,     1,  1,      4,2,20130323,1143,-50.7090, -57.0020,  347,    300.7,   4.9705,  34.0303,2,    280.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2265.8,2,-999.0000,9,  -999.00,   4.9473
  29HE20130320,     1,  1,      5,2,20130323,1143,-50.7090, -57.0020,  347,    203.3,   5.4916,  33.9656,2,    281.6,2,    281.2,2,     7.12,2,    22.42,2,     1.51,2,   2265.1,2,   7.7139,2,    25.00,   5.4752
  29HE20130320,     1,  1,      6,2,20130323,1143,-50.7090, -57.0020,  347,    201.5,   5.4932,  33.9652,2,    281.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2265.1,2,-999.0000,9,  -999.00,   5.4770
  29HE20130320,     1,  1,      7,2,20130323,1143,-50.7090, -57.0020,  347,    152.9,   5.6999,  33.9338,2,    280.4,2,    279.5,2,     6.01,2,    21.87,2,     1.48,2,   2264.2,2,   7.7136,2,    25.00,   5.6874
  29HE20130320,     1,  1,      8,2,20130323,1143,-50.7090, -57.0020,  347,    152.9,   5.7010,  33.9334,2,    280.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2263.9,2,-999.0000,9,  -999.00,   5.6885
  29HE20130320,     1,  1,      9,2,20130323,1143,-50.7090, -57.0020,  347,    101.8,   6.4607,  33.9099,2,    273.9,2,    274.0,2,     4.73,2,    21.15,2,     1.42,2,   2257.4,2,   7.7288,2,    25.00,   6.4518
  29HE20130320,     1,  1,     10,2,20130323,1143,-50.7090, -57.0020,  347,    101.8,   6.4634,  33.9100,2,    273.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2257.7,2,-999.0000,9,  -999.00,   6.4545
  29HE20130320,     1,  1,     11,2,20130323,1143,-50.7090, -57.0020,  347,     37.0,   8.6381,  33.7720,2,    284.4,2,    285.0,2,     1.64,2,    12.55,2,     0.93,2,   2254.9,2,   7.8300,2,    25.00,   8.6343
  29HE20130320,     1,  1,     12,2,20130323,1143,-50.7090, -57.0020,  347,     36.4,   8.6369,  33.7725,2,    284.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2254.9,2,-999.0000,9,  -999.00,   8.6331
  29HE20130320,     1,  1,     13,2,20130323,1143,-50.7090, -57.0020,  347,      5.9,   8.7119,  33.7704,2,    285.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7113
  29HE20130320,     1,  1,     14,2,20130323,1143,-50.7090, -57.0020,  347,      6.3,   8.7113,  33.7705,2,    285.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7106
  29HE20130320,     1,  1,     15,2,20130323,1143,-50.7090, -57.0020,  347,      6.3,   8.7118,  33.7705,2,    285.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7111
  29HE20130320,     1,  1,     16,2,20130323,1143,-50.7090, -57.0020,  347,      5.7,   8.7105,  33.7706,2,    286.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7099
  29HE20130320,     1,  1,     17,2,20130323,1143,-50.7090, -57.0020,  347,      6.0,   8.7090,  33.7705,2,    285.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7084
  29HE20130320,     1,  1,     18,2,20130323,1143,-50.7090, -57.0020,  347,      6.2,   8.7091,  33.7702,2,    285.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7085
  29HE20130320,     1,  1,     19,2,20130323,1143,-50.7090, -57.0020,  347,      6.5,   8.7051,  33.7700,2,    285.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.1,2,-999.0000,9,  -999.00,   8.7044
  29HE20130320,     1,  1,     20,2,20130323,1143,-50.7090, -57.0020,  347,      5.9,   8.7097,  33.7703,2,    285.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7091
  29HE20130320,     1,  1,     21,2,20130323,1143,-50.7090, -57.0020,  347,      5.7,   8.7069,  33.7705,2,    285.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7063
  29HE20130320,     1,  1,     22,2,20130323,1143,-50.7090, -57.0020,  347,      5.9,   8.7055,  33.7703,2,    285.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7049
  29HE20130320,     1,  1,     23,2,20130323,1143,-50.7090, -57.0020,  347,      6.2,   8.7039,  33.7701,2,    285.4,2,    285.4,2,     1.60,2,    12.36,2,     0.91,2,   2256.3,2,   7.8313,2,    25.00,   8.7033
  29HE20130320,     2,  1,      1,2,20130323,1740,-50.1030, -56.4760,  501,    485.5,   3.8662,  34.1109,2,    275.9,2,    275.4,2,    17.39,2,    27.05,2,     1.80,2,   2277.2,2,   7.6657,2,    25.00,   3.8322
  29HE20130320,     2,  1,      2,2,20130323,1740,-50.1030, -56.4760,  501,    486.5,   3.8652,  34.1111,2,    275.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2277.2,2,-999.0000,9,  -999.00,   3.8311
  29HE20130320,     2,  1,      3,2,20130323,1740,-50.1030, -56.4760,  501,    405.8,   4.1799,  34.1025,2,    281.5,2,    281.0,2,    13.86,2,    25.88,2,     1.74,2,   2276.8,2,   7.6805,2,    25.00,   4.1507
  29HE20130320,     2,  1,      4,2,20130323,1740,-50.1030, -56.4760,  501,    411.5,   4.1710,  34.1038,2,    287.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2276.9,2,-999.0000,9,  -999.00,   4.1414
