BOTTLE,20111103CCHDOSIOCBG
#edits to parameter and unit mnemonics
#BOTTLE,20080908JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v1.61 (ogc_group)
#ORIGINAL_SUM_FILE: sum_leg5_050418.csv Mon Apr 18 10:25:32 +0900 2005
#ORIGINAL_HYD_FILE: sea_leg5_080603.csv Tue Jun 03 13:20:34 +0900 2008
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,TOC,TOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,,,,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,,/MILLE,,/MILLE,/MILLE,,/MILLE,,,TU,,TU,BQ/M^3,,BQ/M^3,MBQ/M^3,,MBQ/M^3,DEG C,KG/M^3
49NZ20031209,   I04,610,1,0,-999,9,20031213,902,-24.667,35.3647,124,-999,9,-999,9,-999,9,-999,9,35.1471,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20031209,   I04,610,1,36,12024,2,20031213,902,-24.667,35.3647,124,10.8,2,27.2233,2,27.22208,2,35.1372,2,35.1363,2,191.84,1,11,2,204.32,2,204.37,2,1.55,2,0.12,-0.02,2,0.03,0,2,0.01,0.13,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,27.2208,22.7503
49NZ20031209,   I04,610,1,35,12023,2,20031213,902,-24.667,35.3647,124,50.1,2,22.5872,2,22.58709,2,35.2416,2,35.2378,2,171.56,1,49.9,2,182.78,2,181.97,2,4.58,2,0.13,3.45,2,0.04,0.44,2,0,0,4,0.13,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,22.5771,24.2382
49NZ20031209,   I04,610,1,34,12022,2,20031213,902,-24.667,35.3647,124,100.9,2,19.2469,2,19.24715,2,35.3052,2,35.2991,2,145.46,1,100.8,2,153.13,2,153.15,2,8.73,2,0.14,8.99,2,0.06,0.36,2,0,0.76,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.2287,25.1958
49NZ20031209,   I04,610,1,33,12015,2,20031213,902,-24.667,35.3647,124,110.8,2,18.8247,2,18.8229,2,35.3218,2,35.3123,2,140.36,1,110.7,2,147.13,2,147.62,2,9.49,2,0.14,9.76,2,0.06,0.36,2,0,0.8,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,18.8051,25.3169
49NZ20031209,   I04,610,1,32,12020,9,20031213,902,-24.667,35.3647,124,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20031209,   I04,610,1,31,12019,9,20031213,902,-24.667,35.3647,124,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20031209,   I04,610,1,30,12018,9,20031213,902,-24.667,35.3647,124,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20031209,   I04,610,1,29,12017,9,20031213,902,-24.667,35.3647,124,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
