BOTTLE,20140403SIOCCHCBG
# NITRAT changed to NO2+NO3
# BOTTLE,20130611PRINUNIVRMK
# 2/23/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# SHIP: CCGS Hudson 
# Cruise: HUD2004-016 
# Region: Labrador Sea and off Halifax; AR07W 
# EXPOCODE: 18HU20040515 
# DATES: 5/15 - 5/30/2005 
# Chief Scientist: Glen Harrison 
# 42 stations with 24 place Rosette 
# Hydro: Who - I.Yashayaev; Status - final 
# 	Notes: Salt calibration with IAPSO batch P141 
# 	Calibration check: 
# 	CTD Salinity = 0.9992*Salinity + 0.0279; RSE= 0.00148 
# Nuts: Who - G.Harrison; Status - final 
# 	Notes: 
# 	Nutrients run in duplicate 
# O2: Who - R.Hendry; Status - final 
# 	Notes: CTDOXY calibrated, but 9umol bias 
# 	i.e. CTDoxy =  17.9 + 0.9368*Oxygen; RESE=4.875 
# 	There appear to be multiple relationships each with similar slope,  
# 		but somewhat different intercept.  
# 		This leads to the significant residual error 
# 	Notes in the final report indicate that the calibration error probably 
# 		derived from bottle oxygen values  
# TCO2: Who - P.Jones; Status - final 
# 	Notes:  
# TA: Who - P.Jones; Status - final 
# 	Notes: significant scatter 
# CFC: Who - P.Jones; Status - final 
# 	Notes: includes CFC-113 and CCl3Et 
# Other:	Chloro-A 
# 	I-129 (J.Smith) 
# 	TOC (P. Kepkay) 
# 	No data in file for any of these 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,,
  18HU20040515, AR07W,     2,  1, 277001,      1,2,20040515,2339, 44.3990, -63.4667,   97,     90.1,   0.8775,  32.1429,2,-999.0000,9,    310.8,2,   -999.0,9,     5.29,6,     5.41,6,     0.87,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.8740, 20040515,     2339
  18HU20040515, AR07W,     2,  1, 277002,      2,2,20040515,2339, 44.3990, -63.4667,   97,     60.0,   0.3215,  31.8842,2,-999.0000,9,    330.5,2,   -999.0,9,     2.94,6,     4.29,6,     0.79,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.3195, 20040515,     2340
  18HU20040515, AR07W,     2,  1, 277003,      3,2,20040515,2339, 44.3990, -63.4667,   97,     50.3,   0.3196,  31.8832,2,-999.0000,9,    331.1,2,   -999.0,9,     2.97,6,     4.36,6,     0.80,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.3179, 20040515,     2341
  18HU20040515, AR07W,     2,  1, 277004,      4,2,20040515,2339, 44.3990, -63.4667,   97,     39.8,   0.5176,  31.8423,2,-999.0000,9,    334.8,2,   -999.0,9,     2.52,6,     4.03,6,     0.76,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.5162, 20040515,     2342
  18HU20040515, AR07W,     2,  1, 277005,      5,2,20040515,2339, 44.3990, -63.4667,   97,     29.8,   0.9048,  31.6532,2,-999.0000,9,    363.0,2,   -999.0,9,     0.73,6,     1.16,6,     0.54,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.9037, 20040515,     2343
  18HU20040515, AR07W,     2,  1, 277006,      6,2,20040515,2339, 44.3990, -63.4667,   97,     20.6,   1.7997,  31.4591,2,-999.0000,9,    368.8,2,   -999.0,9,     0.56,6,     0.26,6,     0.43,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.7988, 20040515,     2344
  18HU20040515, AR07W,     2,  1, 277007,      7,2,20040515,2339, 44.3990, -63.4667,   97,     11.2,   4.4857,  31.2523,2,-999.0000,9,    350.8,2,   -999.0,9,     0.54,6,     0.15,6,     0.40,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   4.4850, 20040515,     2345
  18HU20040515, AR07W,     2,  1, 277008,      8,2,20040515,2339, 44.3990, -63.4667,   97,      1.7,   4.5185,  31.2584,2,-999.0000,9,    348.6,2,   -999.0,9,     0.56,6,     0.18,6,     0.40,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   4.5184, 20040515,     2346
  18HU20040515, AR07W,     8,  1, 277009,      1,2,20040516,0232, 44.2667, -63.3098,  140,    150.3,   7.2160,  34.1239,2,-999.0000,9,    158.7,2,   -999.0,9,    17.17,6,    15.67,6,     1.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   7.2019, 20040516,      232
