BOTTLE,201300819PRINUNIVRMK
# 3/18/2013 Initialized README file  
# Data source: final data from S.van Heuven 3/15/2013; CFC from Huhn 3/27/13 
# SHIP: Polarstern 
# Cruise: ANT-XXIV_3; CASO; GEOTRACES-NL 
# Region: A21/A12; Cape Town to Punta Arenas 
# EXPOCODE: 06AQ20080210 
# DATES: 2/10-4/16/2008 
# Chief Scientist: E.Fahrbach;H.de Baar 
# 129 stations with (two different) 24 place Rosettes 
# All QC by data generators 
# Hydro: Who - E.Fahrbach ; Status - final 
# 	Notes: 	CTDSAL only 
# Nuts: Who - J.van Ooijen; Status - final 
# 	Notes:  
# O2: Who I.Núñez-Riboni; Status - final 
# 	Notes: CTDOxy only 
# TCO2: Who - S.van Heuven; H.de Baar; Status - final 
# 	Notes: See van Heuven et al. 2011 and Neven et al. 2011 
# TA: Who - S.van Heuven; H.de Baar; Status - final 
# 	Notes:  
# pCO2 Who - S.van Heuven; H.de Baar; Status - final 
# 	Notes: underway only, will become available as part of SOCATv2 
# CFC11-12: Who - O.Huhn;M.Rhein; Status - final 
# 	Notes: See Huhn et al. 2013 
# He3: Who M.Rhein/O.Huhn; Status - final 
# 	Notes: includes neon 
# 	Uncertainty for each measurement approximated using average measurment  
# 		uncertainly listed in report for these measurements: 
# 	He +/- < 1% 
# 	Neon +/- < 1% 
# 	He3 +/- < 0.05% 
# Other: trace metals and organics. See version of cruise data file at BODC (GEOTRACES data office) 
# References: 
# CO2 / O2: van Heuven, Steven M. A. C., M. Hoppema, O. Huhn, H.A.Slagter, H.de Baar, Direct observation of increasing CO2 in the Weddell Gyre along the Prime Meridian during 1973-2008, D.S.R. II,58(25), 2613-2635, doi:10.1016/j.dsr2.2011.08.007, 2011. 
# CO2: Neven, I.A., J.Stefels, S. van Heuven, H.de Baar, J.T.M. Elzenga, High plasticity in inorganic carbon uptake by Southern Ocean phytoplankton in response to ambient CO2, 58(25), 2636-2646, doi:10.1016/j.dsr2.2011.03.006, 2011. 
# CFCs: Huhn, O., M. Rhein, M. Hoppema, and S. van Heuven (2013), Decline of deep and bottom water ventilation and slowing down of anthropogenic carbon storage in the Weddell Sea, 1984-2011, Deep-Sea Res I. (in press), doi:10.1016/j.dsr.2013.01.005. 
# Physics: Hellmer, Hartmut H; Huhn, Oliver; Gomis, Damià; Timmermann, Ralph (2011): On the freshening of the northwestern Weddell Sea continental shelf. Ocean Science, 7(3), 305-316, doi:10.5194/os-7-305-2011	 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,DEG C
  06AQ20080210,   A12,    97,  2,      1,2,20080211,1556,-37.0237,  12.7564, 4922,   3044.6,   2.3440,  34.8470,2,    223.0,2,    55.92,2,    25.31,2,     0.01,2,     1.73,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1033
  06AQ20080210,   A12,    97,  2,      2,2,20080211,1556,-37.0237,  12.7564, 4922,   3046.8,   2.3440,  34.8470,2,    223.0,2,    56.12,2,    25.35,2,     0.00,2,     1.72,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1031
  06AQ20080210,   A12,    97,  2,      3,2,20080211,1556,-37.0237,  12.7564, 4922,   3048.7,   2.3440,  34.8470,2,    222.6,2,    56.21,2,    25.26,2,     0.00,2,     1.72,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1029
  06AQ20080210,   A12,    97,  2,      4,2,20080211,1556,-37.0237,  12.7564, 4922,   3050.6,   2.3430,  34.8460,2,    223.1,2,    55.82,2,    25.30,2,     0.00,2,     1.70,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1018
  06AQ20080210,   A12,    97,  2,      5,2,20080211,1556,-37.0237,  12.7564, 4922,   3050.7,   2.3430,  34.8470,2,    223.1,2,    55.82,2,    25.19,2,     0.00,2,     1.70,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1017
  06AQ20080210,   A12,    97,  2,      6,2,20080211,1556,-37.0237,  12.7564, 4922,   3050.0,   2.3430,  34.8470,2,    222.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1018
  06AQ20080210,   A12,    97,  2,      7,2,20080211,1556,-37.0237,  12.7564, 4922,   3054.1,   2.3430,  34.8470,2,    223.2,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1014
  06AQ20080210,   A12,    97,  2,      8,2,20080211,1556,-37.0237,  12.7564, 4922,   3052.3,   2.3430,  34.8470,2,    223.3,2,    56.21,2,    25.15,2,     0.00,2,     1.71,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   2.1016
  06AQ20080210,   A12,    97,  2,      9,2,20080211,1556,-37.0237,  12.7564, 4922,   1020.1,   3.9590,  34.2450,2,    230.2,2,    24.21,2,    30.17,2,     0.00,2,     2.02,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   3.8824
  06AQ20080210,   A12,    97,  2,     10,2,20080211,1556,-37.0237,  12.7564, 4922,   1027.1,   3.9360,  34.2460,2,    230.9,2,    24.60,2,    29.97,2,     0.00,2,     2.01,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   3.8590
  06AQ20080210,   A12,    97,  2,     11,2,20080211,1556,-37.0237,  12.7564, 4922,   1032.4,   3.9260,  34.2480,2,    231.0,2,    24.90,2,    30.10,2,     0.00,2,     2.02,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   3.8487
  06AQ20080210,   A12,    97,  2,     12,2,20080211,1556,-37.0237,  12.7564, 4922,   1037.5,   3.9040,  34.2490,2,    231.2,2,    25.19,2,    30.10,2,     0.01,2,     2.01,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   3.8264
  06AQ20080210,   A12,    97,  2,     13,2,20080211,1556,-37.0237,  12.7564, 4922,   1038.6,   3.9040,  34.2490,2,    231.4,2,    25.39,2,    30.30,2,     0.01,2,     2.02,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   3.8263
