BOTTLE,20160217CCHSIOCBG
# changed flag to 9 for fill value at 145-2-10 for DELC14 and DELC13
# BOTTLE,20160203PRINUNIVRMK
# 10/3/2014 Initialized README file  
# Data source: CDIAC 3/18/14 
# SHIP: R/V Melville 
# Cruise: P02W 3/21 - 5/5/2013 
# 	P02E 5/8 - 6/1/2013 
# Region: Pacific at 30N 
# EXPOCODE: 318M20130321 
# DATES: 3/21 - 6/1/2013 
# Chief Scientist: 
# 	Leg 1: J.Swift & ;S.Yoshida 
# 	Leg 2: S.Mecking & G.Voet 
# 159 stations with 36 place Rosette 
# Hydro: Who - J.Swift; Status - final 
# 	Notes: 	 
# Nutrients: Who - J.Swift; Status - final 
# 	Notes: 
# O2: Who - J.Swift; Status -final 
# 	Notes: 
# TCO2: Who - R.Feely; Status - final 
# 	Notes: final data to CDIAC 3/3/2014 
# TA: Who - A.Dickson; Status - final 
# 	Notes: final data to CDIAC 3/6/2014 
# pH: Who - A.Dickson; Status - final 
# 	Notes: final data to CDIAC 3/6/2014 
# CFC: Who - D.Ho;D.Min; Status - final 
# 	Notes:  
# C14: Who - R.Key;A.McNichol; Status - final 
# 	Notes: data from NOSAMS 8/5/15 
# H3/He3: Who - W.Jenkins; Status - final 
# 	Notes: He data rcd @ CCHDO 10/1/14 
# 	H3 data merged 2/3/16  
# DOC/TDN: Who - DC.Carlson; Status - final 
# 	Notes: Data via CDIAC 11/11/14 
# References: 
# Cruise Reports posted at CCHDO: 
# http://cchdo.ucsd.edu/data/co2clivar/pacific/p02/p02_318M20130321/p02_318M20130321do.pdf 
# Metadata at CDIAC: 
# Swift, J., S. Mecking, R. Feely, A. Dickson, C. Carlson, W. Jenkins, A. McNichol, R. Key, D. Ho, D. Sigman, A. Mcdonalds, K. Buesseler, and T. Martz. 2014. Carbon Dioxide, Hydrographic, and Chemical Data Obtained During the R/V Melville Cruise in the Pacific Ocean on GO-SHIP Repeat Hydrography Sections P02_2013 (21 March - 1 June, 2013). http://cdiac.ornl.gov/ftp/oceans/CLIVAR/P02_2013/. Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, US Department of Energy, Oak Ridge, Tennessee. doi: 10.3334/CDIAC/OTG.GOSHIP_P02_318M20130321 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,DEG C
  318M20130321,   P02,     1,  2,      9,      9,2,20130322,2205, 32.5068, 133.0297,  163,      8.3,  19.2122,  34.6923,2,-999.0000,9,    220.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.2107
  318M20130321,   P02,     1,  2,      8,      8,2,20130322,2205, 32.5068, 133.0297,  163,      8.3,  19.1946,  34.6927,2,  34.6931,2,    220.6,2,    220.7,2,     3.51,2,     1.55,2,     0.19,2,     0.19,2,    2.199,2,    1.291,2,    0.132,2,     1.62,2,   2005.1,6,   2280.2,2,   8.0083,6,    25.00,     58.7,2,     5.94,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.1931
  318M20130321,   P02,     1,  2,     10,     10,2,20130322,2205, 32.5068, 133.0297,  163,      8.4,  19.2184,  34.6924,2,-999.0000,9,    220.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.2169
  318M20130321,   P02,     1,  2,      7,      7,2,20130322,2205, 32.5068, 133.0297,  163,     23.1,  19.2088,  34.6911,2,  34.6889,2,    220.9,2,    221.3,2,     3.51,2,     1.57,2,     0.19,2,     0.19,2,    2.619,2,    1.285,2,    0.132,2,     1.71,2,   2006.4,2,   2281.3,2,   8.0089,6,    25.00,     57.9,2,     6.06,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.2047
  318M20130321,   P02,     1,  2,      6,      6,2,20130322,2205, 32.5068, 133.0297,  163,     43.7,  19.2142,  34.6911,2,  34.6888,2,    221.4,2,    221.2,2,     3.51,2,     1.58,2,     0.19,2,     0.20,2,    2.212,2,    1.285,2,    0.118,2,     1.59,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,     58.4,2,     5.24,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.2064
  318M20130321,   P02,     1,  2,      5,      5,2,20130322,2205, 32.5068, 133.0297,  163,     68.5,  18.7448,  34.6769,2,  34.6765,2,    224.6,2,    224.8,2,     2.83,2,     1.12,2,     0.34,2,     0.20,2,    2.723,2,    1.315,2,    0.146,2,     1.65,2,   2005.9,2,   2280.5,6,   8.0077,2,    25.00,     58.5,2,     5.92,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  18.7328
  318M20130321,   P02,     1,  2,      4,      4,2,20130322,2205, 32.5068, 133.0297,  163,     93.9,  18.3980,  34.6805,2,  34.6911,3,    225.1,2,    225.0,2,     3.32,2,     1.56,2,     0.26,2,     0.20,2,    2.524,2,    1.336,2,    0.146,2,     1.73,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,     59.2,2,     6.36,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  18.3817
  318M20130321,   P02,     1,  2,      3,      3,2,20130322,2205, 32.5068, 133.0297,  163,    118.8,  18.0617,  34.6662,2,  34.6680,2,    221.1,2,    221.1,2,     4.00,2,     2.34,2,     0.26,2,     0.25,2,    2.410,2,    1.348,2,    0.127,2,     1.64,2,   2009.2,2,   2282.0,6,   7.9893,2,    25.00,     58.9,2,     7.00,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  18.0413
  318M20130321,   P02,     1,  2,      2,      2,2,20130322,2205, 32.5068, 133.0297,  163,    144.2,  16.5883,  34.6015,2,  34.6022,2,    197.0,2,    197.0,2,     9.08,2,     6.69,2,     0.18,2,     0.53,2,    2.488,2,    1.356,2,    0.077,2,     1.53,2,   2049.4,2,   2281.4,2,   7.9206,6,    25.00,     52.6,2,     9.94,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  16.5650
