BOTTLE,20160220CCHSIOCBG
# removed leg 2 stations 127 - 250
# changed flag to 9 for fill value at 73-2-19-19, 122-1-7-7, and 122-1-5-37 for DELC14
# BOTTLE,20160211PRINUNIVRMK
# 12/17/15 revised H3 data from Jenkins 
# 9/18/14 Added Jenkins tritium data 
# 9/17/14 Added Jenkins helium and neon data after averaging one duplicate 
# BOTTLE,20120509CCHDOSIOCBG 
# code : Justin Fields merge_exchange.rb  
# original HYD file: /data/co2clivar/pacific/p06/p06_318M20091121/original/2012.05.09_DOC_cberys/processing/exchange/orig_hy1.csv  2012-05-09 
#  merged DOC  
# BOTTLE,20110720CCHDOSIOCBG 
#  CHLORA units changed from 'UG/KG' to 'UGM/L' 
# BOTTLE,20110718CCHDOSIOCBG 
# code : Justin Fields merge_exchange.rb  
# original HYD file: /data/co2clivar/pacific/p06/p06_318M20091121/original/2011.07.18_talk-ph_cberys/original_hy1.csv  2011-07-18 
#  merged TCARBN  
# BOTTLE,20110610CCHDOSIOCBG 
# code : Justin Fields merge_exchange.rb 
# original HYD file: /data/co2clivar/pacific/p06/p06_318M20091121/original/201106006_p06_2009_ph-cfc_merge_cberys/p06_original_merged_hy1.csv  2011-06- 
#  merged ALKALI, PH, SF6, CFC-12, CFC-11  
# BOTTLE,20100913CCHDOSIOCBG 
# code: copy_exchange_bot.rb (J. Fields) 
# citations added by A. Barna 
# BOTTLE,20100308DBK 
# BOTTLE,20100210ODF 
#  Data provided by: 
#  PARAMETER/PROGRAM        Affiliation    PI               email 
#  -----------------------  -------------  ---------------  ------------------------------- 
#  CTDO/Rosette, NUTs, O2,  UCSD/SIO       James H. Swift   jswift@ucsd.edu 
#    SAL, Data Processing 
#  CO2-Alkalinity, pH       UM/RSMAS       Frank Millero    fmillero@rsmas.miami.edu 
#  CO2-DIC/Underway pCO2    NOAA/AOML      Rik Wanninkhof   Rik.Wanninkhof@noaa.gov 
#  CFCs                     UM/RSMAS       Rana Fine        rfine@rsmas.miami.edu 
#                           U. Washington  Mark War         nermwarner@ocean.washington.edu 
#  Helium/Tritium           WHOI           William Jenkins  wjenkins@whoi.edu 
#  DOC/TDN                  UM/RSMAS       Craig Carlson    carlson@lifesci.ucsb.edu 
#  13C/14C                  WHOI           Ann McNichol     amcnichol@whoi.edu 
#                           Princeton      Robert Key       key@Princeton.EDU 
#  Trace Elements           UHawaii        Chris Measures   chrism@soest.hawaii.edu 
#    (Leg 1 only)           FSU            Bill Landing     landing@ocean.fsu.edu 
#  ADCP/LADCP               UHawaii        Eric Firing      efiring@soest.hawaii.edu 
#  APEX and Iridium Floats  CSIRO          Anne Thresher    Ann.Thresher@csiro.au 
#  Transmissometer          TAMU           Wilf Gardner     wgardner@tamu.edu 
#  CDOM                     UCSB           Norm Nelson      norm@icess.ucsb.edu 
#                           UCSB           Craig Carlson    carlson@lifesci.ucsb.edu 
#  Isotopic Composition of  U. Mass.       Mark Altabet     maltabet@umassd.edu 
#    Nitrate 
#  Following American Geophysical Union recommendations, 
#  the data should be cited as: data provider(s), cruise name  
#  or cruise ID, data file name(s) CLIVAR and Carbon Hydrographic 
#  Data Office, La Jolla, CA USA," and data file date. For further 
#  information", please contact one of the parties listed above or 
#  cchdo@ucsd.edu. Users are also requested to acknowledge the 
#  NSF/NOAA-funded U.S. Repeat Hydrography Program in publications 
#  resulting from their use. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA,SBE35,SBE35_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,DEG C,ITS-90,
  318M20091121,   P06,     1,  1,     33,     33,2,20091122,0421,-30.0900, 153.4800,   88,      2.4,  21.8284,  35.3176,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.8279,  21.8230,2
  318M20091121,   P06,     1,  1,     34,     34,2,20091122,0422,-30.0900, 153.4800,   88,      2.7,  21.8207,  35.3179,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.8202,  21.8181,2
  318M20091121,   P06,     1,  1,     35,     35,2,20091122,0422,-30.0900, 153.4800,   88,      2.8,  21.8156,  35.3181,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.8150,  21.8148,2
  318M20091121,   P06,     1,  1,     36,     36,2,20091122,0422,-30.0900, 153.4800,   88,      2.9,  21.8185,  35.3178,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.8179,  21.8165,2
  318M20091121,   P06,     1,  1,     32,     32,2,20091122,0421,-30.0900, 153.4800,   88,      3.0,  21.8314,  35.3177,  35.3168,2,    221.9,2,    221.5,2,     1.06,2,     0.53,2,     0.03,2,     0.19,2,    1.949,2,    1.213,2,    0.083,2,     -999,5,   2016.4,6,   2314.2,2,   7.9989,3,    25.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.8308,  21.8297,2
  318M20091121,   P06,     1,  1,     31,     31,2,20091122,0421,-30.0900, 153.4800,   88,      3.3,  21.8168,  35.3181,  35.3172,2,    221.9,2,    221.2,2,     1.04,2,     0.65,2,     0.03,2,     0.19,2,    1.938,2,    1.203,2,    0.092,2,     -999,5,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.8162,  21.8253,2
  318M20091121,   P06,     1,  1,     30,     30,2,20091122,0417,-30.0900, 153.4800,   88,     17.9,  21.2482,  35.3673,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.2447,  21.2902,3
  318M20091121,   P06,     1,  1,     26,     26,2,20091122,0416,-30.0900, 153.4800,   88,     17.9,  21.3255,  35.3523,  35.3551,2,    212.7,2,    212.9,2,     1.02,2,     1.26,2,     0.04,2,     0.23,2,    2.001,2,    1.221,2,    0.079,2,     -999,5,   2028.4,2,   2317.5,2,   8.0167,3,    25.00,   -999.0,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,   9,   -999.0,  -999.00,9,  21.3220,  21.2904,3
