BOTTLE,20091103PRINUNIVRMK
# 6/15/05 Initialized README file  
# Data from K. Friis 4/9/04, R. Steinfeldt, A. Kortzinger 
# Ship: Meteor 
# Cruise: 06MT45_3 (met45.3) 
# Dates: 7/11 - 8/10/1999 
# EXPOCODE 06MT199907 
# Region: N. Atl. 40-58N; 58-41W 
# Ch. Sci.: F. Schott 
# 100 stations (#401:510) with 24 place Rosette 
# Hydro: Who - Zenk,Schott; Status - final 
# 	Notes: T/S data from R. Steinfeldt/M.Rhein cfc file 
# Nuts/O2: Who - ???; Status - ??? 
# 	Notes: Data from K.Friis. May not include all data 
# TCO2: Who - Friis, Johnson; Status - final 
# 	Notes: SOMMA used; 36 CRM (batch #45) analyzed with mean delta 
# 		of -0.32umol/kg 
# 	Replicate difference 1umol/kg 
# pH: Who - Friis,Johnson; Status - final   
# 	Notes: on total scale; spectrophotometric; pHT=22C 
# 	See Friis et al. 2004. 
# 	Values converted to SWS@25C 
# CFC: Who - Rhein; Status - final 
# 	Notes: Data from R. Steinfeldt 
# 	Reported on SIO-93 scale, accuracy 2.0% 
# 	See Kieke et al., 2006. 
# 	Converted to SIO-98 scale 11/3/09 by R.Key 
# C-14: Who - ???; Status - collected  
# 	Notes: sampling includes reoccupation of GEOSECS and TTO stations 
# 		see table 6 in M45_PART4B.pdf 
# C-13: Who - Kortzinger; Status - collected  
# 	Notes: no data 
# H-3/He-3: Who - R.Hohmann; Status - collected  
# 	Notes: analysis at Bremen, no data 
# Other: Thorium-230, protactenium-231 collected (J. Fitzke, J. Scholten) 
# References: 
# Friis, K., A. Kortzinger and D.W.R. Wallace, the salinity normalization of marine inorganic carbon chemistry data, Geophys. Res. Lett.,  30(2), 1085, doi:10.1029/2002GL015898, 2003  
# Friis, K., A. Kortzinger, and D.W.R. Wallace (2004), Spectrophotometric pH-measurement in the ocean: requirements, design and testing of an autonomous CCD-detector system, Limnology and Oceanography: Methods, 2: 126-136. 
# Friis, K., A. Kortzinger, J. Pätsch, and D.W.R. Wallace, On the temporal increase of anthropogenic CO2 in the subpolar North Atlantic, Deep-Sea Res. I, 51,682-691, 2005. 
# Kieke, D., M. Rhein, L. Stramma, W. M. Smethie, D. A. LeBel, and W. Zenk (2006), Changes in the CFC Inventories and Formation Rates of Upper Labrador Sea Water, 1997-2001, J. Phys. Oceanogr, 36, 64-86. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  06MT19990711,   401,  1,      1,2,19990712,0000, 50.9483, -51.9680,  219,    205.7,   2.4330,  34.2830,2,    228.9,4,    20.32,4,    15.23,2,     0.24, 2,     1.33,4, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   2.4214
  06MT19990711,   401,  1,      2,2,19990712,0000, 50.9483, -51.9680,  219,    205.8,   2.4330,  34.2830,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    5.231,2,    2.737,2,   -999.0,9,-999.0000,9,  -999.00,   2.4214
  06MT19990711,   401,  1,      3,2,19990712,0000, 50.9483, -51.9680,  219,    206.0,   2.4330,  34.2830,2,    229.2,2,    20.58,4,    15.26,2,     0.23, 2,     1.32,4, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   2.4213
  06MT19990711,   401,  1,      4,2,19990712,0000, 50.9483, -51.9680,  219,    205.9,   2.4330,  34.2830,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    5.432,2,    2.792,2,   -999.0,9,-999.0000,9,  -999.00,   2.4213
  06MT19990711,   401,  1,      5,2,19990712,0000, 50.9483, -51.9680,  219,    150.2,   1.4210,  33.9540,2,    293.6,2,     7.68,2,    11.41,2,     0.11, 2,     0.97,2, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   1.4139
  06MT19990711,   401,  1,      6,2,19990712,0000, 50.9483, -51.9680,  219,    150.1,   1.4210,  33.9540,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    5.841,2,    3.090,2,   -999.0,9,-999.0000,9,  -999.00,   1.4139
  06MT19990711,   401,  1,      7,2,19990712,0000, 50.9483, -51.9680,  219,    150.2,   1.4210,  33.9540,2,    295.5,2,     7.56,2,    11.36,2,     0.10, 2,     0.96,2, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   1.4139
  06MT19990711,   401,  1,      8,2,19990712,0000, 50.9483, -51.9680,  219,    150.1,   1.4210,  33.9540,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    5.852,2,    3.127,2,   -999.0,9,-999.0000,9,  -999.00,   1.4139
  06MT19990711,   401,  1,      9,2,19990712,0000, 50.9483, -51.9680,  219,    149.9,   1.0510,  33.8740,2,    295.9,2,     7.56,2,    11.24,2,     0.09, 2,     0.94,2, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   1.0444
