BOTTLE,20161116CCHSIORJL
#Change EXPOCODE from 49MR0505_3 to 49NZ20060120
#Change SECT to SECT_ID
#Change SECT_ID from P03 to P03W
#Change DEPTH units from M to METERS
#Change SIG0 units from KG/CUM to KG/M^3
#BOTTLE,20100316JAMSTECRIGC
#Software_Version: whp_btl_exchange.rb_v2.1 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR0505_3_sum.txt Sun Jan 29 14:01:04 +0900 2006
#ORIGINAL_HYD_FILE: 49MR0505_3_sea.txt Tue Mar 16 12:18:03 +0900 2010
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OPTOXY,OPTOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3
    49NZ20060120,   P03W,   370,  1,      0,   -999,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,  34.7972,2,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,     36, X12042,2,20060120,0659, 26.3885, 126.7037,  328,      9.5,2,  22.2994,2,  22.30004,2,  34.7972,2,  34.7949,2,   198.15,1,   216.45,2,     11.7,2,   218.22,2,   216.53,2,     1.37,2,     0.12,     0.04,2,     0.03,     0.00,2,     0.01,    0.044,2,    0.038,    1.813,2,    1.025,2, -999.000,5,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  22.2975,  23.9801
    49NZ20060120,   P03W,   370,  1,     35, X12041,2,20060120,0659, 26.3885, 126.7037,  328,     48.5,2,  22.2450,2,  22.24563,2,  34.7986,2,  34.7971,2,   197.18,1,   214.82,2,     47.4,2,   217.77,2,   215.66,2,     1.37,2,     0.12,     0.07,2,     0.03,     0.01,2,     0.01,    0.048,2,    0.035,    1.811,2,    1.019,2, -999.000,5,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  22.2354,  23.9987
    49NZ20060120,   P03W,   370,  1,     34, X12016,2,20060120,0659, 26.3885, 126.7037,  328,    101.1,2,  22.1876,2,  22.18702,2,  34.8012,2,  34.8006,2,   196.72,1,   213.15,2,    101.3,2,   216.67,2,   215.00,2,     1.41,2,     0.12,     0.10,2,     0.03,     0.02,2,     0.01,    0.053,2,    0.033,    1.826,2,    1.029,2, -999.000,5,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  22.1675,  24.0197
    49NZ20060120,   P03W,   370,  1,     33, X12039,2,20060120,0659, 26.3885, 126.7037,  328,    151.9,2,  19.3040,2,  19.30551,2,  34.8612,2,  34.8604,2,   179.70,1,   194.69,2,    156.6,2,   196.59,2,   196.06,2,     3.24,2,     0.13,     3.27,2,     0.04,     0.02,2,     0.01,    0.265,2,    0.015,    2.117,2,    1.158,2, -999.000,5,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  19.2766,  24.8442
    49NZ20060120,   P03W,   370,  1,     32, X12038,2,20060120,0659, 26.3885, 126.7037,  328,    199.2,2,  17.7967,2,  17.79572,2,  34.8005,2,  34.7994,2,   180.61,1,   196.20,2,    200.1,2,   198.46,2,   196.92,2,     4.41,2,     0.13,     4.89,2,     0.05,     0.01,2,     0.01,    0.363,2,    0.014,    2.260,2,    1.216,2,    0.074,4,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  17.7628,  25.1774
    49NZ20060120,   P03W,   370,  1,     31, X12037,2,20060120,0659, 26.3885, 126.7037,  328,    250.2,2,  17.1239,2,  17.12369,2,  34.7642,2,  34.7625,2,   182.76,1,   198.72,2,    251.0,2,   200.91,2,   199.14,2,     5.06,2,     0.13,     5.57,2,     0.05,     0.01,2,     0.01,    0.410,2,    0.013,    2.314,6,    1.238,6,    0.061,4,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,  17.0824,  25.3137
    49NZ20060120,   P03W,   370,  1,     30, X12008,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20060120,   P03W,   370,  1,     29, X12035,9,20060120,0659, 26.3885, 126.7037,  328,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
