BOTTLE,20090511PRINUNIVRMK
# 9/26/07 this file initialized 
# Data from Rios 9/6/07 
# Cruise dates:3/5-4/17/2001 
# Chief Scientist:A. Rios 
# Ship and cruise designation:Hesperides HE073; FICARAM II 
# EXPOCODEL 29HE20010305 
# Region:Western South Atlantic; A17 repeat 
# 29 full depth stations;  with 24 place Rosette 
# Hydro: Who - ; Status - final 
# 	Notes: 	Bottom depth estimated from global topography 
# Nuts/O2: Who - C. Castro; Status - final 
# 	Notes:  
# TA: Who - A. Rios; Status - final 
# 	Notes: potentiometric titrations with hydrochloric acid to a  
# 		final pH of 4.40 (Pérez and Fraga, 1987). The electrodes were 
# 		standardized using a buffer of pH 4.42 made in CO2 free  
# 		seawater (Pérez et al., 2002). 
# 	CRM batch 41 & 51, uncertainty of 1.4umol/kg 
# pH: Who -  A. Rios; Status - final   
# 	Notes: converted to SWS@25C. Originally eported on total H scale at 25C 
# 	spectrophotometric following Clayton and Byrne (1993) 
# 	CRM batch 41 & 51, uncertainty of 0.002 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,DEGC,,DEGC
  29HE20010305,   A17,     1,  1,      1,20010308,-48.3502, -55.6807, 5044,   2247.0,   1.7508,  34.6904,2,    194.5,2,    91.08,2,    26.23,2,     0.02,2,     1.80,2,   2357.3,2,   7.6069,    25.00,2,   1.5972
  29HE20010305,   A17,     1,  1,      2,20010308,-48.3502, -55.6807, 5044,   2246.0,   1.7507,  34.6920,2,    193.0,2,    94.45,2,    30.74,2,     0.12,2,     2.04,2,   2359.1,2,   7.5910,    25.00,2,   1.5972
  29HE20010305,   A17,     1,  1,      3,20010308,-48.3502, -55.6807, 5044,   1999.0,   1.7492,  34.6869,2,    185.6,2,    96.84,2,    34.18,2,     0.02,2,     2.15,2,   2357.1,2,   7.5895,    25.00,2,   1.6165
  29HE20010305,   A17,     1,  1,      4,20010308,-48.3502, -55.6807, 5044,   1797.0,   1.9581,  34.6857,2,    181.4,2,    83.22,2,    29.26,2,     0.21,2,     1.98,2,   2355.2,2,   7.5866,    25.00,2,   1.8388
  29HE20010305,   A17,     1,  1,      5,20010308,-48.3502, -55.6807, 5044,   1602.0,   2.1218,  34.6587,2,    181.3,2,    81.71,2,    29.44,2,     0.07,2,     2.10,2,   2350.4,2,   7.5776,    25.00,2,   2.0159
  29HE20010305,   A17,     1,  1,      6,20010308,-48.3502, -55.6807, 5044,   1402.0,   2.2310,  34.6257,2,    182.1,2,    81.75,2,    29.42,2,     0.24,2,     2.08,2,   2347.6,2,   7.5680,    25.00,2,   2.1395
  29HE20010305,   A17,     1,  1,      7,20010308,-48.3502, -55.6807, 5044,   1199.0,   2.3296,  34.5821,2,    177.7,2,    66.55,2,    29.00,2,     0.11,2,     2.01,2,   2339.4,2,   7.5538,    25.00,2,   2.2524
  29HE20010305,   A17,     1,  1,      8,20010308,-48.3502, -55.6807, 5044,   1199.0,   2.3296,  34.5821,2,    177.5,2,    78.39,2,    29.56,2,     0.17,2,     2.14,2,   2338.3,2,   7.5589,    25.00,2,   2.2524
  29HE20010305,   A17,     1,  1,      9,20010308,-48.3502, -55.6807, 5044,    999.0,   2.4923,  34.5206,2,    182.0,2,    63.06,2,    28.93,2,     0.05,2,     2.02,2,   2334.1,2,   7.5550,    25.00,2,   2.4284
  29HE20010305,   A17,     1,  1,     10,20010308,-48.3502, -55.6807, 5044,    799.0,   2.6068,  34.4312,2,    193.1,2,    59.41,2,    33.66,2,     0.33,2,     2.26,2,   2328.6,2,   7.5631,    25.00,2,   2.5564
  29HE20010305,   A17,     1,  1,     11,20010308,-48.3502, -55.6807, 5044,    600.0,   2.7919,  34.3158,2,    210.9,2,    46.62,2,    33.07,2,     0.26,2,     2.23,2,   2313.7,2,   7.5896,    25.00,2,   2.7542
  29HE20010305,   A17,     1,  1,     12,20010308,-48.3502, -55.6807, 5044,    599.0,   2.7915,  34.3160,2,    212.4,2,    46.87,2,    34.95,2,     0.13,2,     2.24,2,   2310.6,2,   7.5908,    25.00,2,   2.7539
  29HE20010305,   A17,     1,  1,     13,20010308,-48.3502, -55.6807, 5044,    501.0,   2.7831,  34.2526,2,    229.9,2,    37.02,2,    31.05,2,     0.05,2,     2.14,2,   2306.6,2,   7.6020,    25.00,2,   2.7521
  29HE20010305,   A17,     1,  1,     14,20010308,-48.3502, -55.6807, 5044,    399.0,   2.6559,  34.1610,2,    261.3,2,    29.85,2,    28.27,2,     0.28,2,     2.02,2,   2290.2,2,   7.6447,    25.00,2,   2.6321
  29HE20010305,   A17,     1,  1,     15,20010308,-48.3502, -55.6807, 5044,    298.0,   2.3064,  34.0648,2,    298.9,2,    21.01,2,    29.87,2,     0.27,2,     1.91,2,   2285.1,2,   7.6844,    25.00,2,   2.2897
  29HE20010305,   A17,     1,  1,     17,20010308,-48.3502, -55.6807, 5044,    199.0,   2.8685,  34.0761,2,    300.0,2,    15.57,2,    26.34,2,     0.04,2,     1.82,2,   2278.9,2,   7.6950,    25.00,2,   2.8566
  29HE20010305,   A17,     1,  1,     18,20010308,-48.3502, -55.6807, 5044,    150.0,   3.3500,  34.1103,2,    304.6,2,     8.36,2,    22.26,2,     0.13,2,     1.54,2,   2281.8,2,   7.7084,    25.00,2,   3.3405
  29HE20010305,   A17,     1,  1,     20,20010308,-48.3502, -55.6807, 5044,     99.0,   4.0978,  34.0710,2,    303.6,2,    11.54,2,    25.02,2,     0.90,2,     1.70,2,   2278.3,2,   7.7357,    25.00,2,   4.0910
  29HE20010305,   A17,     1,  1,     21,20010308,-48.3502, -55.6807, 5044,     75.0,   5.9168,  34.0620,2,    300.2,2,     0.85,2,    17.00,2,     0.31,2,     1.22,2,   2278.5,2,   7.7867,    25.00,2,   5.9106
  29HE20010305,   A17,     1,  1,     22,20010308,-48.3502, -55.6807, 5044,     50.0,   7.5193,  34.0281,2,    301.5,2,     0.65,2,    15.57,2,     0.25,2,     1.20,2,   2273.0,2,   7.8356,    25.00,2,   7.5145
  29HE20010305,   A17,     1,  1,     23,20010308,-48.3502, -55.6807, 5044,     25.0,   7.6343,  34.0100,2,    303.5,2,     2.04,2,    16.65,2,     0.54,2,     1.26,2,   2279.3,2,   7.8345,    25.00,2,   7.6319
  29HE20010305,   A17,     1,  1,     24,20010308,-48.3502, -55.6807, 5044,      7.0,   7.6545,  34.0105,2,    303.0,2,     3.10,2,    16.68,2,     0.62,2,     1.22,2,   2275.5,2,   7.8434,    25.00,2,   7.6538
  29HE20010305,   A17,     2,  2,      1,20010309,-44.7203, -51.9547, 5813,   3010.6,   2.3879,  34.8169,2,    228.8,2,    60.75,2,    27.93,2,     0.20,2,     1.78,2,   2331.5,2,   7.6802,    25.00,2,   2.1499
  29HE20010305,   A17,     2,  2,      3,20010309,-44.7203, -51.9547, 5813,   2600.0,   2.6651,  34.8122,2,    225.2,2,    47.07,2,    23.83,2,     0.02,2,     1.54,2,   2331.4,2,   7.6808,    25.00,2,   2.4621
  29HE20010305,   A17,     2,  2,      4,20010309,-44.7203, -51.9547, 5813,   2399.4,   2.9377,  34.8340,2,    219.5,2,    53.41,2,    27.23,2,     0.46,2,     1.67,2,   2329.7,2,   7.6634,    25.00,2,   2.7491
  29HE20010305,   A17,     2,  2,      5,20010309,-44.7203, -51.9547, 5813,   2197.4,   3.0494,  34.8175,2,    212.1,2,    56.60,2,    29.90,2,     0.26,2,     1.88,2,   2330.7,2,   7.6424,    25.00,2,   2.8782
