BOTTLE,20161130CCHSIORJL
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change CFC-11 empty data value from 9.00 to -999.000 for 107,2,USW (STNNBR,CASTNO,BTLNBR)
#Change CFC-12 empty data value from 9.00 to -999.000 for 107,2,USW (STNNBR,CASTNO,BTLNBR)
#BOTTLE,20070403JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 18DD9910_1_sum.txt Fri Mar 16 17:48:04 +0900 2007
#ORIGINAL_HYD_FILE: 18DD9910_1_sea.txt Tue Apr 03 17:31:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BE
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO3+NO2,NO3+NO2_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,/MILLE,,UMOL/KG,,UMOL/KG,
    18DD9910_1,   P1E,  JF01,  1,     L1,    USW,2,19990602,0922, 48.2200,-123.5358,   -9,      5.0,-999.0000,  30.5890,2,  -999.00,9,    34.78,2,    20.65,2,     1.68,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,  JF02,  1,     L2,    USW,2,19990602,1119, 48.3108,-123.9965,  181,      5.0,-999.0000,  30.7400,2,  -999.00,9,    32.70,2,    19.80,2,     1.62,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,  JF03,  1,     L3,    USW,2,19990602,1327, 48.4478,-124.5027,  237,      5.0,-999.0000,  30.7630,2,  -999.00,9,    30.79,2,    18.01,2,     1.46,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,  JF04,  1,     L4,    USW,2,19990602,1525, 48.5318,-125.0083,   -9,      5.0,-999.0000,  31.0680,2,  -999.00,9,    31.68,2,    17.82,2,     1.54,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   115,  2,     L5,    USW,2,19990603,-999, 46.9013,-124.9937,   -9,      5.0,-999.0000,  31.7560,2,  -999.00,9,     0.75,2,     0.11,2,     0.17,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   115,  1,     33,     12,2,19990603,0142, 46.9013,-124.9937,  777,      3.7,  11.8575,-999.0000,5,   356.00,2,     0.74,2,     0.00,2,     0.12,2,     3.68,2,     1.92,2, -999.000,1,   1835.6,2,   2169.6,2
    18DD9910_1,   P1E,   115,  1,     32,     11,2,19990603,0142, 46.9013,-124.9937,  777,      9.0,  11.4837,-999.0000,5,   358.20,2,     0.39,2,     0.00,2,     0.14,2,     3.63,2,     1.89,2, -999.000,1,   1838.7,2,   2164.1,2
    18DD9910_1,   P1E,   115,  1,     31,     10,2,19990603,0142, 46.9013,-124.9937,  777,     24.2,  11.2270,-999.0000,5,   302.10,2,     1.60,2,     0.00,2,     0.24,2,     3.91,2,     2.05,2, -999.000,1,   1919.2,2,   2172.0,2
    18DD9910_1,   P1E,   115,  1,     30,      9,2,19990603,0142, 46.9013,-124.9937,  777,     49.8,   8.5046,-999.0000,5,   276.35,2,    13.26,2,     8.59,2,     0.93,2,     4.04,6,     2.09,6, -999.000,1,   2034.8,2,   2188.0,2
    18DD9910_1,   P1E,   115,  1,     29,      8,2,19990603,0142, 46.9013,-124.9937,  777,     74.9,   8.1025,-999.0000,5,   248.40,2,    16.05,2,    12.90,2,     1.17,2,     4.28,2,     2.09,2, -999.000,1,   2064.1,2,   2196.4,2
    18DD9910_1,   P1E,   115,  1,     28,      7,2,19990603,0142, 46.9013,-124.9937,  777,     98.4,   8.0800,-999.0000,5,   139.19,2,    32.16,2,    25.92,2,     1.92,2,     3.20,2,     1.58,2, -999.000,1,   2162.3,2,   2234.5,2
    18DD9910_1,   P1E,   115,  1,     27,      6,2,19990603,0142, 46.9013,-124.9937,  777,    148.8,   6.9387,-999.0000,5,    99.79,2,    47.64,2,    32.02,2,     2.30,2,     2.26,2,     1.05,2, -999.000,1,   2217.2,2,   2263.1,2
    18DD9910_1,   P1E,   115,  1,     26,      5,2,19990603,0142, 46.9013,-124.9937,  777,    198.9,   6.2941,  33.9890,2,    81.74,2,    56.82,2,    34.86,2,     2.50,2,     1.67,2,     0.80,2, -999.000,1,   2241.6,2,   2281.4,2
    18DD9910_1,   P1E,   115,  1,     25,      4,2,19990603,0142, 46.9013,-124.9937,  777,    300.0,   5.6009,  34.0420,2,    53.86,2,    70.78,2,    37.93,2,     2.76,2,     0.98,2,     0.46,2, -999.000,1,   2274.4,2,   2293.1,2
    18DD9910_1,   P1E,   115,  1,     24,      3,2,19990603,0142, 46.9013,-124.9937,  777,    400.7,   5.2240,  34.0980,2,    38.68,2,    80.69,2,    39.82,2,     2.92,2,     0.65,2,     0.36,2, -999.000,1,   2294.5,2,   2297.4,2
    18DD9910_1,   P1E,   115,  1,     23,      2,2,19990603,0142, 46.9013,-124.9937,  777,    600.3,   4.6798,  34.1900,2,    22.23,2,    96.47,2,    41.74,2,     3.08,2,     0.24,2,     0.09,2, -999.000,1,   2322.6,2,   2318.4,2
    18DD9910_1,   P1E,   115,  1,     22,      1,2,19990603,0142, 46.9013,-124.9937,  777,    800.3,   4.0293,-999.0000,5,    17.02,2,   115.45,2,    42.80,2,     3.17,2,     0.24,2,     0.00,2, -999.000,1,   2349.1,2,   2351.8,2
    18DD9910_1,   P1E,   114,  2,     L6,    USW,2,19990603,-999, 47.0030,-125.0582,   -9,      5.0,-999.0000,  31.6110,2,  -999.00,9,     0.40,2,     0.00,2,     0.14,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     46,     13,2,19990603,0430, 47.0030,-125.0582,  822,      1.9,  11.3242,  31.6530,2,   405.15,2,     0.60,2,     0.05,2,     0.14,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     45,     12,2,19990603,0430, 47.0030,-125.0582,  822,     10.1,  11.1933,  32.2320,2,   295.79,2,     6.96,2,     0.93,2,     0.46,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     44,     11,2,19990603,0430, 47.0030,-125.0582,  822,     25.8,   8.7029,  32.6990,2,   279.65,2,    11.47,2,     7.37,2,     0.89,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     43,     10,2,19990603,0430, 47.0030,-125.0582,  822,     51.3,   8.2471,  32.7520,2,   280.63,2,    12.00,2,     8.49,2,     0.94,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
