BOTTLE,20161130CCHSIORJL
#Change EXPOCODE from 49MR99K05_2 to 49NZ199909_2
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change THETA units from ITS-90 to DEG C
#Change SIG0 units from KG/CUM to KG/M^3
#BOTTLE,20070702JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR99K05_2_sum.txt Fri Mar 16 17:26:12 +0900 2007
#ORIGINAL_HYD_FILE: 49MR99K05_2_sea.txt Mon Jul 02 17:33:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,DEG C,KG/M^3
   49NZ199909_2,   P1H,    13,  1,      0,      0,9,19990930,1906, 41.3663, 146.6882, 5486,   -999.0,9,-999.0000,9,-999.0000,9,  32.8217,2,  -999.00,9,  -999.00,5,     2.19,2,     0.66,2,     0.01,2,     0.09,3,   2228.6,3,   1954.9,3,   -999.0,9,   -999.0,-999.0000,-999.0000
   49NZ199909_2,   P1H,    13,  1,     16,     16,2,19990930,1906, 41.3663, 146.6882, 5486,      9.5,2,  17.5763,2,  32.8005,1,  32.8262,3,  -999.00,9,   250.85,2,     2.19,3,     0.74,3,     0.01,3,     0.11,3,   2223.8,3,   1957.2,3,      4.0,2,      3.3,  17.5747,  23.7115
   49NZ199909_2,   P1H,    13,  1,     15,     15,2,19990930,1906, 41.3663, 146.6882, 5486,     50.1,2,   3.4523,2,  33.1000,1,  33.0994,2,  -999.00,9,   310.69,2,    27.38,3,    21.29,3,     0.58,3,     1.77,3,   2236.1,3,   2113.9,3,    -24.8,2,      2.7,   3.4492,  26.3276
   49NZ199909_2,   P1H,    13,  1,     14,     14,2,19990930,1906, 41.3663, 146.6882, 5486,    100.2,2,   2.4729,2,  33.2590,1,  33.2541,3,  -999.00,9,   287.75,2,    37.45,3,    24.54,3,     0.01,3,     1.87,3,   2245.2,3,   2140.8,3,    -16.2,2,      2.9,   2.4675,  26.5365
   49NZ199909_2,   P1H,    13,  1,     13,     13,2,19990930,1906, 41.3663, 146.6882, 5486,    200.5,2,   2.4449,2,  33.5427,1,  33.5685,3,  -999.00,9,   177.20,2,    63.02,3,    33.07,3,     0.01,3,     2.45,3,   2271.4,3,   2222.1,3,    -58.8,2,      2.8,   2.4338,  26.7907
   49NZ199909_2,   P1H,    13,  2,     12,     12,2,19990930,2042, 41.3707, 146.6763, 5496,    299.0,2,   3.5808,2,  33.8526,1,  33.8531,2,  -999.00,9,    95.85,2,    81.10,2,    39.64,2,     0.01,2,     2.82,3,   2298.5,3,   2277.6,3,    -92.3,2,      2.5,   3.5611,  26.9174
   49NZ199909_2,   P1H,    13,  2,     11,     11,2,19990930,2042, 41.3707, 146.6763, 5496,    400.2,2,   3.2014,2,  33.9525,1,  33.9549,2,  -999.00,9,    55.75,2,    98.18,2,    43.72,2,     0.01,2,     3.08,2,   2311.3,3,   2314.3,3,   -134.7,2,      3.5,   3.1759,  27.0349
   49NZ199909_2,   P1H,    13,  2,     10,     10,2,19990930,2042, 41.3707, 146.6763, 5496,    600.6,2,   3.3198,2,  34.2023,1,  34.2048,2,  -999.00,9,    32.48,2,   117.28,2,    44.62,2,     0.01,2,     3.13,3,   2341.1,3,   2345.6,3,   -175.7,2,      2.8,   3.2797,  27.2245
   49NZ199909_2,   P1H,    13,  2,      9,      9,2,19990930,2042, 41.3707, 146.6763, 5496,    799.0,2,   2.9439,2,  34.3193,1,  34.3201,2,  -999.00,9,  -999.00,9,   132.42,2,    45.25,2,     0.01,2,     3.16,3,   2360.9,3,   2361.8,3,   -197.9,2,      2.5,   2.8915,  27.3522
