BOTTLE,20140304SIOCCHRJL
# TCARBN data value 9.0 flag 9 changed to data value -999.00
# BOTTLE,20140127PRINUNIVRMK
# 5/13/05 Initialized README file 
# Data from Kozry via CARINA site 5/11/04 
# Previously saved as met50sv... (some minor differences) 
# Updated files from R. Steinfeldt 12/18/06 
# Ship: Meteor 
# Cruise: Met5 0 Leg 1, 06MT50_1, SFB 460 
# Region: Subpolar North Atlantic; Halifax to St. John's 
# Cruise dates: 5/7 - 5/31/2001  
# EXPOCODE: 06MT20010507 
# Chief Scientist: J. Fischer 
# 53 stations with 24 place Rosette 
# Hydro: Who - Stramma; Status - final 
# 	Notes:  
# 	Pressure approximated from listed depth 
# 	bottom depth estimated by global topography 
# Nuts/O2: Who - Stramma; Status - final 
# 	Notes:  
# TCO2: Who - Friis, Luger; Status - final 
# 	Notes: CRM used (batch 41, 47, 52), SOMMA 
# 	precision +/-1 umol/kg; accuracy +/- 2umol/kg 
# 	Data compare favorably with other Meteor cruises, same region 
# TA: Who - Friis, Luger; Status - final 
# 	Notes: CRM used, VINDTA,  
# 	precision +/- 2umol/kg, accuracy +/-4umol/kg 
# 	Values adjusted by 0.9 (added) to calibrate with CRM runs 
# 	Data compare favorably with other Meteor cruises, same region 
# pCO2: Who - ; Status -   
# 	Notes: underway only 
# pH: Who - Friis; Status - final 
# 	Notes: Analysis and originally reported at 21+/-1C, Total Scale, spectrophotometric, 
# 		precision +/- 0.002 
# CFC: Who - Getzlaff, Kieke, Schutt; Status - final 
# 	Notes: data from R. Steinfeldt 12/18/06 
# 	measured by gas chromatography 
# 	CFC-11: SIO-93 scale, accuracy 2.0% 
# 	CFC-12: SIO-93 scale, accuracy 2.0% 
# 	See Kieke et al, 2006. 
# 	CFC converted to SIO-98 11/02/09 R.Key 
# Other: ADCP, chlorophyll collected, but no data 
# References: 
# Kieke, D., M. Rhein, L. Stramma, W. M. Smethie, D. A. LeBel, and W. Zenk, 2006. Changes in the CFC Inventories and Formation Rates of Upper Labrador Sea Water, 1997-2001, J. Phys. Oceanogr, 36, 64-86. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  06MT20010507,    53,  1,      2,2,20010509,   0, 43.3568, -56.6075, 3093,   2006.0,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.690,2,    0.827,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    53,  1,      3,2,20010509,   0, 43.3568, -56.6075, 3093,   2006.0,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.683,2,    0.843,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    53,  1,      4,2,20010509,   0, 43.3568, -56.6075, 3093,   2006.0,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.693,2,    0.867,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    53,  1,      5,2,20010509,   0, 43.3568, -56.6075, 3093,   2005.7,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.713,2,    0.868,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    53,  1,      6,2,20010509,   0, 43.3568, -56.6075, 3093,   2006.2,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.670,2,    0.846,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    53,  1,      7,2,20010509,   0, 43.3568, -56.6075, 3093,   2006.2,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.669,2,    0.834,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    53,  1,      8,2,20010509,   0, 43.3568, -56.6075, 3093,   2006.2,-999.0000,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.678,2,    0.856,2,      -999.00,9,   -999.0,9,-999.0000,9,  -999.00,-999.0000
  06MT20010507,    54,  1,      9,2,20010511,   0, 43.2438, -49.4750,  816,      9.8,   1.3986,  32.6600,2,    376.6,2,     3.59,2,     3.41,2,     0.07,2,     0.51,2, -999.000,9, -999.000,9,      -999.00,9,   2214.4,2,   7.7549,2,    25.00,   1.3982
  06MT20010507,    54,  1,      8,2,20010511,   0, 43.2438, -49.4750,  816,     49.6,   1.0406,  32.8950,2,    354.5,2,     7.26,2,     6.74,2,     0.08,2,     0.72,2, -999.000,9, -999.000,9,      -999.00,9,   2221.2,2,   7.7042,2,    25.00,   1.0386
