BOTTLE,20161201CCHSIORJL
# Merged parameters: BTLNBR_U, BTLNBR_U_FLAG_W, PH_TMP
# Change EXPOCODE from 49MR0704_1 to 49NZ20070724
# Change SECT to SECT_ID
# Change DEPTH units from M to METERS
# Change CS-137ER units from BQ/CUM to BQ/M^3
# Change PLUTO units from MBQ/CUM to MBQ/M^3
# Change PLUTOER from MBQ/CUM to MBQ/M^3
# Change SIG0 units from KG/CUM to KG/M^3
# Change PH to PH_TOT
# Change PH_FLAG_W to PH_TOT_FLAG_W
#BOTTLE,20140714PRINUNIVRMK
# 05/18/2010 Initialized README file 
# data from JAMSTEC 7/11/14 
# SHIP: R/V Mirai 
# Cruise: MR07-04 
# Region: WOCE P01 line (see also P14N for 2007 for additional stations) 
# EXPOCODE: 49NZ20070724 
# DATES: 7/24 - 9/3/2007 
# Chief Scientist: Takeshi Kawano (JAMSTEC) 
# 88 full depth stations with 36 place Rosette 
# Hydro: Who - Hiroshi Uchida, Takeshi Kawano; Status - final
#       Notes:  
# O2: Who - Yuichiro Kumamoto; Status - final 
#       Notes:  
# Nuts: Who - Michio Aoyama; Status - final 
#       Notes:  
# TCO2: Who - Akihiko Murata; Status - final 
#       Notes:  
# TA: Who - Akihiko Murata; Status - final 
#       Notes:  
# pH: Who - Akihiko Murata; Status -  
#       Notes: spectrophotometric method at 25deg-C; total hydrogen ion scale 
# CFC: Who - Kenichi Sasaki; Status - final 
#       Notes:  includes CCL4  
# C-14: Who - Yuichiro Kumamoto; Status - final 
#       Notes:  
# C-13: Who - Yuichiro Kumamoto; Status - final 
#       Notes:  
# CS-137: Who - Michio Aoyama; Status - collected 
#       Notes: no data in file 
# Plutonium: Who - Michio Aoyama; Status - collected 
#       Notes: no data in file 
# References: 
# http://www.jamstec.go.jp/iorgc/ocorp/data/p01_p14rev_2007/index.html
#BOTTLE,20140203JAMSTECRIGC
#Software_Version: whp_btl_exchange.rb_v2.1 (occrp)
#ORIGINAL_SUM_FILE: 49MR0704_1_sum.txt Wed Sep 19 12:53:32 +0900 2007
#ORIGINAL_HYD_FILE: 49MR0704_1_sea.txt Mon Feb 03 00:05:56 +0900 2014
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,SBE35,SBE35_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,PMOL/KG,,ITS-90,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,BQ/CUM,,BQ/M^3,MBQ/M^3,,MBQ/M^3,DEG C,KG/M^3
49NZ20070724,        P01,       1,          1,          0,     -999.0,9,          0,2,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,  33.1596,2,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         36,     X12042,2,         36,2,20070726,       0910,    42.9715,   145.4543,         99,     9.3,2,  10.1527,2,  33.1418,2,  33.1373,2,   335.48,2,  333.82,2,   14.66,2,    4.26,2,    0.10,2,   0.687,2,   3.984,2,   2.110,2,   0.337,2,  2032.4,2,  2257.5,2,   7.9310,6,    25.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,  10.16164,2,       0.15,       0.04,       0.01,      0.013,     -999.0,9,     -999.0,     -999.0,9,     -999.0,  10.1516,    25.4757
49NZ20070724,        P01,       1,          1,         35,     X12041,2,         35,2,20070726,       0910,    42.9715,   145.4543,         99,    49.2,2,   5.7270,2,  33.4182,2,  33.4184,2,   262.42,2,  264.18,2,   31.05,2,   12.30,2,    0.23,2,   1.262,2,   4.092,2,   2.140,2,   0.329,2,  2123.7,6,  2265.8,2,   7.7561,2,    25.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,   5.72706,2,       0.19,       0.07,       0.01,      0.014,     -999.0,9,     -999.0,     -999.0,9,     -999.0,   5.7231,    26.3367
49NZ20070724,        P01,       1,          1,         34,     X12036,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         33,     X12033,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         32,     X12038,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         31,     X12003,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         30,     X12008,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         29,     X12035,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
