BOTTLE,20161206CCHSIORJL
# Change SECT to SECT_ID
# Change XMISS to CTDXMISS
# Change XMISS_FLAG_W to CTDXMISS_FLAG_W
# Change XMISSCP to CTDXMISSCP
# Change FLUOR to CTDFLUOR
# Change FLUOR_FLAG_W to CTDFLUOR_FLAG_W
# Change CTDFLUOR units from MG/CUM to MG/M^3 
# BOTTLE,20150320JAMSTECRIGC
#Software_Version: whp_btl_exchange.rb_v4.1 (occrp)
#ORIGINAL_SUM_FILE: 49NZ20130106_sum.txt Wed Oct 22 20:13:14 +0900 2014
#ORIGINAL_HYD_FILE: MR12050320150320000000.csv Fri Mar 20 21:01:46 +0900 2015
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,CTDXMISS,CTDXMISSCP,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,G/KG,,UMOL/KG,,UMOL/KG,,%TRANS,/METER,,MG/M^3,,MG/CUM,,UE/SQM/S,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,,/MILLE,,/MILLE,/MILLE,,/MILLE,MBQ/KG,,MBQ/KG,MBQ/KG,,MBQ/KG
  49NZ20130106,  S04I,    88,  2,      0,   -999,9,20130112,2018,-61.6202, 107.4453, 4291,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,  33.8668,2,-999.0000,9,  -999.00,9,  -999.00,9, -999.000,-999.0000,9, -999.000,9,  -999.00,9, -999.000,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     36, X12J36,2,20130112,2018,-61.6202, 107.4453, 4291,     10.5,2,   1.9695,2,   1.96976,2,  33.8674,2,  33.8669,2,-999.0000,9,   344.78,2,   343.94,2,   89.274,   0.4538,2,    1.000,2,     1.00,2,   23.336,2,    14.77,2,     0.07,    22.67,2,     0.03,     0.25,2,     0.01,     1.42,2,     0.01,    5.600,2,    3.062,2,    0.490,2,    2.770,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     35, X12J35,2,20130112,2018,-61.6202, 107.4453, 4291,     25.3,2,   1.9238,2,   1.92481,2,  33.8675,2,  33.8677,2,-999.0000,9,   345.50,2,   344.39,2,   89.481,   0.4446,2,    1.080,2,     1.00,2,    4.635,2,    15.00,2,     0.07,    22.80,2,     0.03,     0.25,2,     0.01,     1.43,2,     0.01,    5.652,2,    3.051,2,    0.496,2,    2.858,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     34, X12J34,2,20130112,2018,-61.6202, 107.4453, 4291,     50.6,2,  -1.1915,2,  -1.19101,2,  33.9563,2,  33.9584,2,-999.0000,9,   340.80,2,   340.37,2,   98.199,   0.0727,2,    0.320,2,     0.25,2,    0.495,2,    40.70,2,     0.10,    28.46,2,     0.04,     0.19,2,     0.01,     2.07,2,     0.01,    5.909,6,    3.208,6,    0.523,6,    2.921,6,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     33, X12J33,2,20130112,2018,-61.6202, 107.4453, 4291,     74.9,2,  -1.2804,2,  -1.28071,2,  34.0195,2,  34.0208,2,-999.0000,9,   327.20,2,   326.89,2,   98.937,   0.0427,2,    0.230,2,     0.19,2,    0.141,2,    46.45,2,     0.10,    29.63,2,     0.04,     0.19,2,     0.01,     2.11,2,     0.01,    5.517,2,    2.972,2,    0.484,2,    2.687,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     32, X12J32,2,20130112,2018,-61.6202, 107.4453, 4291,    100.7,2,  -0.9413,2,  -0.93977,2,  34.1069,2,  34.1140,2,-999.0000,9,   302.18,2,   300.21,2,   99.347,   0.0262,2,    0.150,2,     0.13,2,    0.019,2,    51.39,2,     0.10,    30.98,2,     0.04,     0.15,2,     0.01,     2.17,2,     0.01,    4.797,2,    2.610,2,    0.418,2,    2.294,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     31, X12J31,2,20130112,2018,-61.6202, 107.4453, 4291,    125.6,2,   0.0088,2,   0.00985,2,  34.2522,2,  34.2494,2,-999.0000,9,   258.31,2,   258.60,2,   99.508,   0.0197,2,    0.120,2,     0.08,2,    0.000,2,    58.24,2,     0.11,    32.74,2,     0.05,     0.06,2,     0.01,     2.27,2,     0.01,    3.663,2,    1.974,2,    0.319,2,    1.638,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     30, X12J30,2,20130112,2018,-61.6202, 107.4453, 4291,    150.5,2,   0.6488,2,   0.65027,2,  34.3746,2,  34.3724,2,-999.0000,9,   228.02,2,   227.66,2,   99.641,   0.0144,2,    0.070,2,     0.05,2,    0.000,2,    65.08,2,     0.12,    33.51,2,     0.05,     0.03,2,     0.01,     2.32,2,     0.01,    2.676,2,    1.457,2,    0.238,2,    1.080,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     29, X12J29,2,20130112,2018,-61.6202, 107.4453, 4291,    199.2,2,   1.6469,2,   1.64783,2,  34.5472,2,  34.5461,2,-999.0000,9,   186.79,2,   186.54,2,   99.696,   0.0122,2,    0.030,2,     0.02,2,    0.000,2,    74.84,2,     0.13,    34.27,2,     0.05,     0.02,2,     0.01,     2.36,2,     0.01,    1.270,2,    0.670,2,    0.106,2,    0.441,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
