BOTTLE,20170109CCHSIORJL
# Merged parameters: BTLNBR_U, BTLNBR_U_FLAG_W
# Change XMISS to CTDXMISS
# Change XMISS_FLAG_W to CTDXMISS_FLAG_W
# Change XMISSCP to CTDXMISSCP
# Change FLUOR to CTDFLUOR
# Change CTDFLUOR units from MG/CUM to MG/M^3
# Change FLUOR_FLAG_W to CTDFLUOR_FLAG_W
# Change CHLORA units from MG/CUM to MG/M^3
# Change CS137ER units from BQ/CUM to BQ/M^3
# --------------------------
#BOTTLE,20141220JAMSTECRIGC
# Software_Version: whp_btl_exchange.rb_v3.0 (occrp)
# ORIGINAL_SUM_FILE: 49NZ20111220_sum.txt Thu May 24 06:12:40 +0900 2012
# ORIGINAL_HYD_FILE: sea201412040002.csv Sat Dec 20 15:34:26 +0900 2014
# DEPTH_TYPE: COR
# EVENT_CODE: BO
# --------------------------
#BOTTLE,20140814PRINUNIVRMK
# 8/18/14 Initialized README file  
# Data source: http://www.jamstec.go.jp/iorgc/ocorp/data/p10rev_2011/index.html 
# SHIP: R/V Mirai 
# Cruise: MR11-08 
# Region: NW Pacific on ~145E; P10 
# EXPOCODE: 49NZ20111220 
# DATES: 12/20/2011 - 1/12/2012 
# Chief Scientist: A. Murata 
# 59 stations with 36 place Rosette 
# Hydro: Who - H.Uchida; Status - final 
#       Notes:   
# Nuts: Who - M.Aoyama; Status - final 
#       Notes: 
# O2: Who - Y.Kumamoto; Status - final 
#       Notes: 
# TCO2: Who - A. Murata; Status - final 
#       Notes:  
# TA: Who - A. Murata; Status - final 
#       Notes:  
# pH: Who - A. Murata; Status - final 
#       Notes:  
# CFC: Who - K.Sasaki; Status - final 
#       Notes: includes CFC-113 and SF6 
# C14: Who - Y.Kumamoto; Status - collected 
#       Notes:  
# H3/He3: Who - T.Aono; Status - 
#       Notes:  
# Other: Who - ; Status - 
#       Notes:  
# References: 
# ---------------------------
#BOTTLE,20140213JAMSTECRIGC
# Software_Version: whp_btl_exchange.rb_v3.0 (occrp) 
# ORIGINAL_SUM_FILE: 49NZ20111220_sum.txt Thu May 24 06:12:40 +0900 2012 
# ORIGINAL_HYD_FILE: sea201402120502.csv Thu Feb 13 12:31:45 +0900 2014 
# DEPTH_TYPE: COR 
# EVENT_CODE: BO 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CTDFLUOR,CTDFLUOR_FLAG_W,SBE35,SBE35_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDXMISSCP,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,TRITUM,TRITUM_FLAG_W,TRITER,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
,,,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,MG/M^3,,ITS-90,,G/KG,,%TRANS,,/METER,MG/M^3,,UE/SQM/S,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,KBQ/CUM,,KBQ/CUM,BQ/CUM,,BQ/CUM,BQ/CUM,,BQ/M^3
49NZ20111220,        P10,      59,          1,          0,     -999.0,9,         99,9,20111223,       2126,    19.1732,   149.3372,       5548,  -999.0,9,-999.0000,9,-999.0000,9,  34.5569,2,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,9,     -999.0,9,     -999.0,     -999.0,9,     -999.0,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         36,     X12J36,2,      12036,2,20111223,       2126,    19.1732,   149.3372,       5548,    10.5,2,  27.6745,2,  34.5572,2,  34.5548,2,   200.23,2,  199.73,2,    0.78,2,    0.08,2,    0.01,2,   0.049,2,   1.543,2,   0.990,2,   0.115,2,   1.059,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.023,2,  27.67553,2,     -999.0,9,     98.773,2,     0.0494,     -999.0,9,    509.084,2,       0.12,       0.03,       0.01,      0.034,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         35,     X12J35,2,      12035,2,20111223,       2126,    19.1732,   149.3372,       5548,    50.6,2,  27.6344,2,  34.5659,2,  34.5750,2,   200.17,2,  200.07,2,    0.85,2,    0.06,2,    0.01,2,   0.053,2,   1.540,2,   0.989,2,   0.125,6,   1.034,6,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.072,2,  27.63454,2,     -999.0,9,     98.666,2,     0.0537,     -999.0,9,     89.309,2,       0.12,       0.03,       0.01,      0.033,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         34,     X12J34,2,      12034,2,20111223,       2126,    19.1732,   149.3372,       5548,    99.9,2,  25.3573,2,  35.0588,2,  35.0600,2,   205.47,2,  205.75,2,    1.19,2,    0.10,2,    0.01,2,   0.052,2,   1.757,6,   1.119,6,   0.127,2,   1.203,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.222,2,  25.36998,2,     -999.0,9,     98.686,2,     0.0529,     -999.0,9,     14.159,2,       0.12,       0.03,       0.01,      0.033,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         33,     X12J33,2,      12033,2,20111223,       2126,    19.1732,   149.3372,       5548,   150.2,2,  21.1713,2,  34.9899,2,  34.9869,2,   202.53,2,  202.93,2,    1.78,2,    0.38,2,    0.12,2,   0.088,2,   2.090,2,   1.291,2,   0.107,2,   1.207,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.176,2,  21.17515,2,     -999.0,9,     99.081,2,     0.0369,     -999.0,9,      1.010,2,       0.12,       0.03,       0.01,      0.024,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         32,     X12J32,2,      12032,2,20111223,       2126,    19.1732,   149.3372,       5548,   199.3,2,  18.1909,2,  34.7526,2,  34.7563,2,   196.13,2,  196.22,2,    3.22,2,    3.94,2,    0.01,2,   0.305,2,   2.342,2,   1.413,2,   0.035,2,   1.138,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.018,2,  18.18939,2,     -999.0,9,     99.388,2,     0.0246,     -999.0,9,      0.115,2,       0.13,       0.04,       0.01,      0.016,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         31,     X12J31,2,      12031,2,20111223,       2126,    19.1732,   149.3372,       5548,   248.7,2,  17.0084,2,  34.6767,2,  34.6752,2,   196.74,2,  197.45,2,    4.71,2,    5.77,2,    0.01,2,   0.416,2,   2.472,2,   1.468,2,   0.029,2,   1.249,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.007,2,  17.01281,2,     -999.0,9,     99.560,2,     0.0176,     -999.0,9,      0.000,2,       0.13,       0.05,       0.01,      0.013,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         30,     X12J30,2,      12030,2,20111223,       2126,    19.1732,   149.3372,       5548,   332.0,2,  14.2796,2,  34.4948,2,  34.4940,2,   189.74,2,  190.18,2,    9.82,2,   10.29,2,    0.01,2,   0.752,2,   2.800,2,   1.592,2,   0.021,2,   1.071,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.007,2,  14.27973,2,     -999.0,9,     99.636,2,     0.0146,     -999.0,9,      0.000,2,       0.14,       0.06,       0.01,      0.013,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         29,     X12J29,2,      12029,2,20111223,       2126,    19.1732,   149.3372,       5548,   429.3,2,  11.4084,2,  34.2972,2,  34.2947,2,   181.49,2,  182.20,3,   18.71,2,   15.94,2,    0.01,2,   1.147,2,   2.902,2,   1.567,2,   0.055,6,   0.966,6,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.009,2,  11.40981,2,     -999.0,9,     99.684,2,     0.0127,     -999.0,9,      0.000,2,       0.16,       0.08,       0.01,      0.013,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
