BOTTLE,20170119CCHSIORJL
# Change EXPOCODE from 49MR0502_1 to 49NZ20050525
# Change SECT to SECT_ID
# Change DEPTH units from M to METERS
#BOTTLE,20100316JAMSTECRIGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR0502_1_sum.txt Wed Feb 01 13:44:02 +0900 2006
#ORIGINAL_HYD_FILE: 49MR0502_1_sea.txt Tue Mar 16 13:58:33 +0900 2010
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/CUM
    49NZ20050525,  P10N,   143,  1,      0,   -999,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,  32.3695,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,     36, X12048,2,20050526,2315, 42.2532, 143.7380,  472,     10.7,2,   4.6955,2,   4.70889,2,  32.6555,2,  32.6753,2,   393.83,1,     17.9,2,   399.45,2,   400.23,6,     0.27,2,     0.12,     0.17,2,     0.03,     0.03,2,     0.01,    0.333,2,    0.014,    5.708,2,    2.827,2,    0.542,4,   1990.5,2,   2238.5,2,   8.0009,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   4.6947,  25.8500
    49NZ20050525,  P10N,   143,  1,     35, X12047,2,20050526,2315, 42.2532, 143.7380,  472,     50.2,2,   4.1551,2,   4.14943,2,  33.2999,2,  33.2963,2,   305.59,1,     51.6,2,   313.41,2,   312.54,2,    19.49,2,     0.16,    13.60,2,     0.07,     0.18,2,     0.01,    1.326,2,    0.014,    5.216,2,    2.636,2,    0.504,4,   2106.6,6,   2252.7,2,   7.7661,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   4.1517,  26.4185
    49NZ20050525,  P10N,   143,  1,     34, X12046,2,20050526,2315, 42.2532, 143.7380,  472,     99.7,2,   2.7584,2,   2.76290,2,  33.2506,2,  33.2624,2,   292.94,1,    100.5,2,   300.06,2,   298.31,2,    33.68,2,     0.19,    18.86,2,     0.09,     0.14,2,     0.01,    1.664,2,    0.014,    5.347,2,    2.713,2,    0.504,4,   2138.5,2,   2251.9,6,   7.6814,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.7528,  26.5100
    49NZ20050525,  P10N,   143,  1,     33, X12003,2,20050526,2315, 42.2532, 143.7380,  472,    150.5,2,   2.4465,2,   2.44591,2,  33.3483,2,  33.3488,2,   271.98,1,    154.2,2,   280.79,2,   277.55,2,    46.04,2,     0.22,    23.81,2,     0.10,     0.11,2,     0.01,    1.941,2,    0.015,    5.141,2,    2.566,2,    0.484,4,   2162.9,2,   2258.8,2,   7.6277,6, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.4383,  26.6141
    49NZ20050525,  P10N,   143,  1,     32, X12044,2,20050526,2315, 42.2532, 143.7380,  472,    200.3,2,   2.0646,2,   2.06473,2,  33.3518,2,  33.3519,2,   260.13,1,    202.0,2,   266.76,2,   267.22,2,    53.74,2,     0.24,    26.25,2,     0.11,     0.10,2,     0.01,    2.113,2,    0.015,    5.039,2,    2.543,2,    0.464,4,   2179.2,2,   2256.5,2,   7.5888,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.0542,  26.6472
    49NZ20050525,  P10N,   143,  1,     31, X12043,2,20050526,2315, 42.2532, 143.7380,  472,    249.7,2,   2.0195,2,   2.01993,2,  33.3655,2,  33.3665,2,   252.86,1,    251.0,2,   259.92,2,   259.83,2,    56.46,2,     0.24,    27.20,2,     0.11,     0.10,2,     0.01,    2.172,2,    0.015,    5.112,2,    2.534,2,    0.491,4,   2186.1,2,   2263.2,2,   7.5755,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.0065,  26.6617
    49NZ20050525,  P10N,   143,  1,     30, X12042,2,20050526,2315, 42.2532, 143.7380,  472,    300.8,2,   2.0392,2,   2.03940,2,  33.4262,2,  33.4309,2,   229.92,1,    301.8,2,   236.57,2,   234.68,2,    63.13,2,     0.26,    29.51,2,     0.12,     0.07,2,     0.01,    2.316,2,    0.016,    4.544,2,    2.358,2,    0.417,4,   2204.3,2,   2269.1,2,   7.5341,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.0234,  26.7091
    49NZ20050525,  P10N,   143,  1,     29, X12041,2,20050526,2315, 42.2532, 143.7380,  472,    400.9,2,   2.0726,2,   2.07290,2,  33.5171,2,  33.5198,2,   191.35,1,    400.7,2,   192.90,2,   194.81,2,    74.86,2,     0.28,    32.88,2,     0.12,     0.05,2,     0.01,    2.532,2,    0.016,    4.237,2,    2.089,2,    0.368,4,   2236.4,2,   2278.0,2,   7.4711,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.0510,  26.7797
