BOTTLE,20170130CCHSIOCBG
# Merged parameters: DOC, SF6
# DOC and TDN flags changed to 4 at stn-cast-btl-samp 52-1-11-11 as per Alex Kozyr
# 20160204PRINUNIVRMK
# file processed by CCHDO on 2016-02-18
# 10/2/2014 Initialized README file  
# Data source: CCHDO 
# SHIP: R/V Atlantis 
# Cruise: AT20; A20.2012 
# Region: western North Atlantic 
# EXPOCODE: 33AT20120419 
# DATES: 4/19 - 5/15/2014 
# Chief Scientist: M.McCartney & D. Gong 
# 83 stations with 36 place Rosette 
# Hydro: Who - J.Swift; Status - final 
# 	Notes: 	Reported depth is CTD_Depth + distance above bottom at maximum pressure 
# Nutrients: Who - J.Swift; Status - final 
# 	Notes: 
# O2: Who - J.Swift; Status - final 
# 	Notes: 
# TCO2: Who - R.Wanninkhof;R.Feely; Status - final 
# 	Notes:  
# TA: Who - F.Millero; Status - final 
# 	Notes:  
# pH: Who - F.Millero; Status - final 
# 	Notes:  
# CFC: Who - W.Smethie;R.Fine; Status - preliminary 
# 	Notes: includes CCl4 & SF6 
# C14: Who - R.Key;A.Mcnichol; Status - final 
# 	Notes: Added 7/31/15 
# H3/He3: Who - W.Jenkins; Status - final 
# 	Notes: final He,Neon data 10/1/2014 
# 	H3 data added 1/25/16 with QC 
# 	H3 data with contamination signal removed added 2/4/16 
# DOC/TDN: Who - D.Hansell; Status - final 
# 	Notes: data from D.H. via A.K. 5/30/13 
# References:
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,HELIER,DELHER,THETA,SBE35,SBE35_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,TU,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,NMOL/KG,PMOL/KG,,UMOL/KG,,UMOL/KG,,NMOL/KG,PERCNT,DEG C,ITS-90,
33AT20120419,        A20,       1,          1,          4,          4,2,20120421,       1619,     6.8680,   -53.4791,         67,     3.9,  27.8491,  31.1096,2,  31.1080,2,    229.6,2,   229.2,2,    5.10,2,    0.00,2,    0.01,2,    0.01,2,   1.704,2,   1.075,2,   0.140,2, -999.00,5,  1743.0,2,  2096.5,2,   8.2102,2,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  27.8482,  27.8466,2
33AT20120419,        A20,       1,          1,          3,          3,2,20120421,       1614,     6.8680,   -53.4791,         67,    23.8,  27.5460,  35.0193,2,  35.0173,2,    198.9,2,   197.8,2,    1.57,2,    0.00,2,    0.00,2,    0.03,2,   1.627,2,   1.037,2,   0.144,2,    1.19,2,  1976.1,2,  2317.8,2,   8.0899,2,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  27.5405,  27.5325,2
33AT20120419,        A20,       1,          1,          2,          2,2,20120421,       1610,     6.8680,   -53.4791,         67,    43.6,  25.9412,  36.3374,2,  36.3412,2,    182.2,2,   181.7,2,    1.61,2,    1.03,2,    0.16,2,    0.15,2,-999.000,5,-999.000,5,-999.000,5,    1.14,2,  2066.4,2,  2386.0,2,   8.0402,6,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  25.9314,  25.9391,2
33AT20120419,        A20,       1,          1,          1,          1,2,20120421,       1607,     6.8680,   -53.4791,         67,    58.1,  24.8665,  36.2490,2,  36.2515,2,    153.5,2,   153.1,2,    9.96,2,    3.26,2,    0.17,2,    0.40,2,-999.000,5,-999.000,5,-999.000,5,    1.41,2,  2101.8,2,  2395.5,3,   7.9724,6,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  24.8539,  24.8689,2
33AT20120419,        A20,       2,          1,          6,          6,2,20120421,       1749,     6.9383,   -53.4483,         75,     3.1,  27.9754,  30.6428,2,  30.6276,2,    233.3,2,   233.0,2,    5.89,2,    0.00,2,    0.00,2,    0.01,2,   1.705,2,   1.077,2,   0.141,2,    1.22,2,  1718.5,6,  2069.1,2,   8.2171,6,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  27.9747,  27.9435,2
33AT20120419,        A20,       2,          1,          5,          5,2,20120421,       1746,     6.9383,   -53.4483,         75,    28.3,  27.0087,  36.0449,2,  36.0604,2,    199.3,2,   198.3,2,    0.60,2,    0.00,2,    0.02,2,    0.02,2,   1.670,2,   1.102,2,   0.147,2,    1.21,2,  2024.3,2,  2368.7,6,   8.0851,2,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  27.0022,  27.0093,2
33AT20120419,        A20,       2,          1,          2,          2,2,20120421,       1742,     6.9383,   -53.4483,         75,    53.2,  26.6018,  36.2572,2,  36.2575,2,    198.8,2,   197.8,2,    0.58,2,    0.00,2,    0.03,2,    0.02,2,   1.683,2,   1.055,2,   0.140,2,    1.17,2,  2038.9,2,  2377.7,2,   8.0775,2,    25.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  26.5897,  26.6000,2
33AT20120419,        A20,       2,          1,          4,          4,2,20120421,       1743,     6.9383,   -53.4483,         75,    53.4,  26.5974,  36.2577,2,-999.0000,9,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9, -999.00,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  26.5852,  26.5970,2
33AT20120419,        A20,       2,          1,          3,          3,2,20120421,       1743,     6.9383,   -53.4483,         75,    53.6,  26.6002,  36.2574,2,  36.2589,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9, -999.00,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.000,9, -999.00,9, -999.00,9,-999.0000, -999.00,  26.5880,  26.6017,2
