BOTTLE,20150217PRINUNIVRMK
# 5/31/2012 Initialized README file  
# Data source: N.P.Holliday via U.Schuster & O.Legge 
# SHIP: RRS Discovery 
# Cruise: D332; Arctic Gateway 
# Region: AR07W; St Johns, Newfoundland to Glasgow, Scotland 
# EXPOCODE: 74DI20080820 
# DATES: 8/20 - 9/25/2008 
# Chief Scientist: S. Bacon 
# 74 stations with 24 place Rosette 
# 332000 subtracted from originally posted station numbers 
# Bottom depth approximated from topography 
# Hydro: Who - K.Cox; Status - final  
# Notes: Calibration check 
# CTDSAL = 1.0133*Salinity - 0.4681; RSE=0.0228,df=339 
# Nuts: Who - I.Salter; Status - final 
# Notes: Converted from umol/l to umol/kg by  /1.025 
# nitrate is actually NO3+NO2 
# Estimated nutrient precision <0.5% 
# Additional phosphate qc Feb. 2015 rmk 
# O2: Who - J.Frommlet; Status - final 
# Notes: Converted from umol/l to umol/kg by  /1.025 
# No CTDOXY in file 
# TCO2: Who - U.Schuster; Status - final 
# Notes: shore analysis 
# Data rcd from O.Legge 11/30/12 
# See Schuster et al. 2010 
# TA: Who - U.Schuster; Status - final 
# Notes: shore analysis 
# Data rcd from O.Legge 11/30/12 
# See Schuster et al. 2010 
# CFC: Who - ; Status - no data in file 
# Notes: collected 
# Other: POC,calcite,SF6: no data in file  
# References: 
# Schuster, U., Watson, A. J., Bakker, D. C. E., Boer, A. de, Jones, E. M., Lee, G. A., Legge, O., Louwerse, A., Riley, J., Scally, S. (2014) Measurements of total alkalinity and inorganic dissolved carbon in the Atlantic Ocean and adjacent Southern Ocean between 2008 and 2010. Earth Syst. Sci. Data 6: 175-183. doi:10.5194/essd-6-175-2014. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  74DI20080820, AR07W,     1,  1,      1,2,20080820,1802, 47.5145, -52.5945,  187,    163.1,  -1.3171,  33.1101,2,  33.1122,2,    317.8,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.3207
  74DI20080820, AR07W,     1,  1,      2,2,20080820,1802, 47.5145, -52.5945,  187,    163.1,  -1.3170,  33.1102,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.3206
  74DI20080820, AR07W,     1,  1,      3,2,20080820,1802, 47.5145, -52.5945,  187,    163.1,  -1.3170,  33.1102,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.3206
  74DI20080820, AR07W,     1,  1,      4,2,20080820,1802, 47.5145, -52.5945,  187,    122.3,  -1.4602,  32.9555,2,  32.9594,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2157.5,2,   -999.0,9,  -1.4627
  74DI20080820, AR07W,     1,  1,      5,2,20080820,1802, 47.5145, -52.5945,  187,    122.2,  -1.4598,  32.9554,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.4623
  74DI20080820, AR07W,     1,  1,      6,2,20080820,1802, 47.5145, -52.5945,  187,    122.2,  -1.4592,  32.9556,2,-999.0000,9,    334.8,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.4617
  74DI20080820, AR07W,     1,  1,      7,2,20080820,1802, 47.5145, -52.5945,  187,    102.0,  -1.4236,  32.9027,2,  32.9208,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.4257
  74DI20080820, AR07W,     1,  1,      8,2,20080820,1802, 47.5145, -52.5945,  187,    102.0,  -1.4237,  32.9033,2,  32.9173,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.4258
  74DI20080820, AR07W,     1,  1,      9,2,20080820,1802, 47.5145, -52.5945,  187,    102.0,  -1.4231,  32.9033,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.4252
  74DI20080820, AR07W,     1,  1,     10,2,20080820,1802, 47.5145, -52.5945,  187,     71.9,  -1.0755,  32.7784,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.0771
  74DI20080820, AR07W,     1,  1,     11,2,20080820,1802, 47.5145, -52.5945,  187,     71.8,  -1.0675,  32.7765,2,-999.0000,9,    351.6,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.0692
  74DI20080820, AR07W,     1,  1,     12,2,20080820,1802, 47.5145, -52.5945,  187,     71.8,  -1.0640,  32.7757,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.0657
  74DI20080820, AR07W,     1,  1,     13,2,20080820,1802, 47.5145, -52.5945,  187,     51.4,  -0.2631,  32.6753,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.2646
  74DI20080820, AR07W,     1,  1,     14,2,20080820,1802, 47.5145, -52.5945,  187,     51.4,  -0.2353,  32.6734,2,-999.0000,9,    362.1,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.2368
  74DI20080820, AR07W,     1,  1,     15,2,20080820,1802, 47.5145, -52.5945,  187,     51.4,  -0.2238,  32.6721,2,  32.7079,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.2253
  74DI20080820, AR07W,     1,  1,     16,2,20080820,1802, 47.5145, -52.5945,  187,     31.0,   2.7503,  32.3809,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2.7486
  74DI20080820, AR07W,     1,  1,     17,2,20080820,1802, 47.5145, -52.5945,  187,     31.0,   2.8644,  32.3725,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2.8627
  74DI20080820, AR07W,     1,  1,     18,2,20080820,1802, 47.5145, -52.5945,  187,     31.0,   2.9800,  32.3637,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2.9783
  74DI20080820, AR07W,     1,  1,     19,2,20080820,1802, 47.5145, -52.5945,  187,     20.8,   7.5023,  32.0054,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   7.5004
  74DI20080820, AR07W,     1,  1,     20,2,20080820,1802, 47.5145, -52.5945,  187,     20.8,   7.5069,  32.0057,2,-999.0000,9,    321.6,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   7.5050
  74DI20080820, AR07W,     1,  1,     21,2,20080820,1802, 47.5145, -52.5945,  187,     20.8,   7.5109,  32.0059,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   7.5090
  74DI20080820, AR07W,     1,  1,     22,2,20080820,1802, 47.5145, -52.5945,  187,      5.3,  13.1966,  31.5144,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  13.1959
  74DI20080820, AR07W,     1,  1,     23,2,20080820,1802, 47.5145, -52.5945,  187,      5.3,  13.2391,  31.5107,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  13.2384
  74DI20080820, AR07W,     1,  1,     24,2,20080820,1802, 47.5145, -52.5945,  187,      5.3,  13.2026,  31.5123,2,  31.5257,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  13.2019
  74DI20080820, AR07W,     2,  1,      1,2,20080821,1729, 50.9922, -48.9960, 2788,   2018.5,   2.8941,  34.9119,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2156.0,2,   -999.0,9,   2.7415
  74DI20080820, AR07W,     2,  1,      2,2,20080821,1729, 50.9922, -48.9960, 2788,   2018.7,   2.8946,  34.9119,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2.7420
  74DI20080820, AR07W,     2,  1,      3,2,20080821,1729, 50.9922, -48.9960, 2788,   2018.7,   2.8949,  34.9120,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2155.2,2,   -999.0,9,   2.7423
  74DI20080820, AR07W,     2,  1,      4,2,20080821,1729, 50.9922, -48.9960, 2788,   2018.8,   2.8948,  34.9120,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2155.4,2,   -999.0,9,   2.7422
