BOTTLE,20170228CCHSIORJL
# PCO2_TMP changed to PCO2TMP
# OXYGEN, SILCAT, NITRAT, & PHSPHT's empty data values with flag 2 changed to flag 9
# BOTTLE,20141124PRINUNIVRMK
# File Initialized 12/13/06 
# Ship: Discovery 
# Cruise: 74DI279
# Cruise dates: 4/4-5/10/2004
# EXPOCODE: 74DI20040404
# Region: Atlantic zonal section at 24.5N; A05/AR01
# Chief Scientist: S. Cunningham
# 123 full depth stations;  with 24 place Rosette
# Hydro: Who - H. Longworth; Status - final
# Notes: See Cunningham 2004a,b
# Many apparent mistrips
# CTD values interpolated to bottle trip pressure and added with flag 0
# Nuts/O2: Who - R. Sanders; Status - final
# Notes:
# TCO2: Who - U. Schuster; Status - final
# Notes: CRM Batch 62; 66 analyses with mean of 2126.65+/-2.3umol/kg with certified value of 2126.46+/-0.56umol/kg.
# On-board replicates implied precision of 1.1umol/kg
# Carbon data from U. Schuster 11/2/06
# TA: Who - U. Schuster; Status - final
# Notes: RM Batch 62; 43 analyses with mean of 2337.8±1.8µmol/kg with certified value of 2338.2±0.46µmol/kg.
# On-board replicates implied precision of 1.1-1.5umol/kg 
# Due to analytical problems results from stations 73, 75, 77, 79, 81, 83, 85, and 87 rejected.
# pCO2: Who - U. Schuster; Status - final
# Notes: reported @15C
# Underway data also collected
# CFC: Who - D.Willey;D.Cooper; Status - final
# Notes: includes CFC-113 and CCl4
# Estimated accuracy of 2%
# Data from Willey via CCHDO 4/28/08
# Other: LADP, no data in file
# References:
# Cunningham, S.A., RRS Discovery Cruise 279, 04 APR - 10 MAY 2004: A transatlantic hydrographic section at 24.5¡N, pp. 150, Southampton Oceanography Centre, Southampton, 2005a.
# Cunningham, S.A., RRS Discovery Cruises 277 (26 MAR - 16 APR 2004) and 278 (19 MAR - 30 MAR 2004): Monitoring the Atlantic Meridional Overturning Circulation at 26.5¡N, pp. 150, Southampton Oceanography Centre, Southamtpon, 2005b.
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,CCL4,CCL4_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,PMOL/KG,,DEG C
74DI20040404,        A05,       1,          1,          1,2,20040404,       0000,    26.4783,   -79.0100,        716,   705.8,-999.0000,-999.0000,9,  35.3270,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,          2,2,20040404,       0000,    26.4783,   -79.0100,        716,   705.5,-999.0000,-999.0000,9,  35.3280,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,          3,2,20040404,       0000,    26.4783,   -79.0100,        716,   705.3,-999.0000,-999.0000,9,  35.3280,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.916,2,   0.514,2,   0.009,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.294,2,-999.0000
74DI20040404,        A05,       1,          1,          4,2,20040404,       0000,    26.4783,   -79.0100,        716,   705.2,-999.0000,-999.0000,9,  35.3280,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,          5,2,20040404,       0000,    26.4783,   -79.0100,        716,   705.0,-999.0000,-999.0000,9,  35.3290,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.909,2,   0.480,2,   0.030,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.293,2,-999.0000
74DI20040404,        A05,       1,          1,          6,2,20040404,       0000,    26.4783,   -79.0100,        716,   704.8,-999.0000,-999.0000,9,  35.3310,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.908,2,   0.510,2,   0.008,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.302,2,-999.0000
74DI20040404,        A05,       1,          1,          7,2,20040404,       0000,    26.4783,   -79.0100,        716,   704.7,-999.0000,-999.0000,9,  35.3290,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.901,2,   0.502,2,   0.010,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.289,2,-999.0000
74DI20040404,        A05,       1,          1,          8,2,20040404,       0000,    26.4783,   -79.0100,        716,   704.5,-999.0000,-999.0000,9,  35.3340,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.902,2,   0.513,2,   0.009,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.290,2,-999.0000
74DI20040404,        A05,       1,          1,          9,2,20040404,       0000,    26.4783,   -79.0100,        716,   704.3,-999.0000,-999.0000,9,  35.3330,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.897,2,   0.463,2,   0.010,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.293,2,-999.0000
