BOTTLE,20170227CCHSIOCBG
# Merged parameters: DOC, ALKALI, SF6, PH_TMP
# combined D14C-DIC into DELC14 with flag and error at stn-cast-samp-btl 26-1-13-13 and 26-1-35-35
# 20160727CCHSIOCBG
# Merged parameters: D14C-DIC,D14C-DIC_FLAG_W,D14C-DIC_ERROR,D14C-DOC,D14C-DOC_FLAG_W,D14C-DOC_ERROR,D13C-DOC,D13C-DOC_FLAG_W,D13C-DOC_ERROR
# 20160218CCHSIOCBG
# changed flag to 9 for fill value at 41-1-24 and 41-1-26 for DOC
# BOTTLE,20160204PRINUNIVRMK
# 2/15/2013 Initialized README file
# Data source: CCHDO, preliminary,10/9/12
# SHIP: R/V Atlantis 
# Cruise: A22
# Region: NW North Atlantic 
# EXPOCODE: 33AT20120324
# DATES: 3/24 - 4/17/2012
# Chief Scientist: Ruth Curry with Zoltan Szutz 
# 81 stations with 36 place Rosette
# Hydro: Who - UCSD/SIO; Status - final 
# 	Notes: 	 
# Nutrients: Who - UCSD/SIO; Status - final 
# 	Notes: 
# O2: Who - UCSD/SIO; Status - final
# 	Notes: 
# TCO2: Who - R.Wanninkhof/D.Feely; Status - final
# 	Notes:  
# TA: Who - F.Millero; Status - final 
# 	Notes: Data from CDIAC 2/14/13
# pH: Who - F.Millero; Status - final 
# 	Notes: Reported on total H+ scale at 25C
# 	Data from CDIAC 2/14/13
# DOC/DON: Who - D. Hansell; Status - final 
# 	Notes: 
# CFC: Who - W.Smethie/R.Fine; Status - final 
# 	Notes: includes SF6
# C14: Who - R.Key/A.McNichol; Status -final
# 	Notes: includes C13
# 	Added 8/3/15
# H3/He3: Who - W.Jenkins; Status - mixed
# 	Notes: He/He3/Ne revised data added 10/2/14
# 	H3 data added 1/25/16 with QC
# 	H3 data with contamination correction added 2/4/16
# Other: E.Druffel D14C-DOC,D13C-DOC ; Status - final
# 	ADCP/LADCP E.Firing 
# 	Transmissometery W.Gardner 
# 	Skin SST P.Minnett 
# 	Underway pCO2 R.Wanninkhof
# References: 
# D14C-DOC,D13C-DOC: Druffel, E. R. M., S. Griffin,A.I. Coppola and B.D. Walker (2016), Radiocarbon in dissolved organic carbon of the Atlantic Ocean, Geophys. Res. Lett.,43,doi:10.1002/2016GL068746.
# BOTTLE,20120712CCHDOSIOCBG
# BOTTLE,20120627ODF
# REPORTED DEPTH IS CTD_DEPTH + DISTANCE_ABOVE_BOTTOM AT MAX PRESSURE
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,HELIER,DELHER,THETA,SBE35,SBE35_FLAG_W,D14C-DOC,D14C-DOC_FLAG_W,D14C-DOC_ERROR,D13C-DOC,D13C-DOC_FLAG_W,D13C-DOC_ERROR
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,TU,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,NMOL/KG,PMOL/KG,,UMOL/KG,,UMOL/KG,,NMOL/KG,PERCNT,DEG C,ITS-90,,/MILLE,,/MILLE,/MILLE,,/MILLE
33AT20120324,A22,1,2,8,8,2,20120325,341,40.0112,-70.0063,167,6.7,10.4937,33.4309,2,33.4504,2,314.7,2,312.3,2,0.49,2,0.02,2,0.02,2,0.2,2,3.813,2,2.168,2,0.325,2,2.42,2,2018.2,2,2250.6,6,7.9488,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,10.4929,10.4929,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,7,7,2,20120325,339,40.0112,-70.0063,167,21.7,11.3126,34.3521,2,34.3477,2,262.2,2,261.4,2,1.33,2,4.12,2,0.22,2,0.41,2,3.327,2,1.928,2,0.265,2,2,2,2077.3,2,2287.02,2,7.8889,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,11.3099,11.3058,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,6,6,2,20120325,336,40.0112,-70.0063,167,41.4,12.1794,34.676,2,34.6944,2,252.8,2,251.7,2,1.27,2,4.49,2,0.33,2,0.41,2,3.133,2,1.816,2,0.248,2,1.92,2,2084.6,2,2303.93,2,7.9019,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,12.174,12.1934,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,5,5,2,20120325,333,40.0112,-70.0063,167,65.1,13.9205,35.2707,2,35.2912,2,237.7,2,236.1,2,1.62,2,5.14,2,0.13,2,0.4,2,2.806,2,1.654,2,0.214,2,1.49,2,2095.7,2,2332.1,2,7.9253,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,13.9111,13.8943,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,4,4,2,20120325,331,40.0112,-70.0063,167,90.6,14.3,35.4315,2,35.4371,2,224.8,2,223.8,2,2.47,2,6.38,2,0.05,2,0.47,2,2.677,2,1.572,2,0.191,2,1.62,2,2105.9,2,2337.85,6,7.9174,6,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,14.2867,14.2973,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,3,3,2,20120325,327,40.0112,-70.0063,167,116.9,14.6305,35.636,2,35.6378,2,206.9,2,206.6,2,3.22,2,8.23,2,0.04,2,0.56,2,2.518,2,1.455,2,0.143,2,1.37,2,2120.1,2,2346.76,2,7.9007,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,14.613,14.6284,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,2,2,2,20120325,324,40.0112,-70.0063,167,141.4,13.6237,35.5528,2,35.5531,2,178,2,177,2,6.23,2,12.93,2,0.04,2,0.84,2,2.303,2,1.319,2,0.111,2,0.85,2,2147.7,2,2341.67,2,7.8318,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,13.6036,13.6288,2,-999,9,-999,-999,9,-999
33AT20120324,A22,1,2,1,1,2,20120325,321,40.0112,-70.0063,167,157.4,12.8708,35.5759,2,35.5752,2,150.3,2,149.7,2,8.24,2,17.08,2,0.06,2,1.11,2,2.028,2,1.119,2,0.057,2,0.78,2,-999,5,2338.98,6,7.7757,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,12.8492,12.8564,2,-999,9,-999,-999,9,-999
33AT20120324,A22,2,2,19,19,2,20120325,2236,39.8966,-69.9309,735,3,10.7076,33.593,2,33.65,2,291.1,4,299.3,2,0.28,2,0.32,2,0.04,2,0.21,2,3.701,2,2.105,2,0.31,2,2.19,2,2027.4,6,2257.68,6,7.9426,6,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,1,-999,9,-999,9,-999,-999,10.7072,10.8135,3,-999,9,-999,-999,9,-999
