BOTTLE,20141029CCHSIOCBG
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W, DOC, DOC_FLAG_W, TDN, TDN_FLAG_W
# BOTTLE,20130402PRINUNIVRMK
# 8/17/2011 Initialized README file
# Data source: CCHDO; B.Tilbrook 3/25/13
# SHIP: Aurora Australis
# Cruise: SR03; AU0806
# Region: Southern Ocean south of Tasmania
# EXPOCODE: 09AR20080322
# DATES: 3/22 - 4/17/2008
# Chief Scientist: M. Rosenberg & S. Rintoul
# 73 stations with 24 place Rosette
# Hydro: Who - M.Rosenberg; Status - final
#       Notes: See cruise report for details
# Nuts/O2: Who - ; Status - final
#       Notes: nitrate is really NO3+NO2
#       Phosphate offset of ~0.13 (high) noted by PIs
#       Conversion to umol using temperature of 20.5C by PIs
# TCO2: Who - B.Tilbrook; Status - final
#       Notes: Data from Tilbrook 3/25/13
# TA: Who - B.Tilbrook; Status - final
#       Notes: Data from Tilbrook 3/25/13
# CFC: Who - M.Warner; Status -  final
#       Notes: includes CFC113
# Other: GEOTRACES trace metal work- no data in file
#       DOC/TDN - D. Hansell; Data from Tilbrook 3/25/13
#       O-18- no data in file
# References:
# 20120202SIOCCHDOCBG
# CTD data and bottle data other than CFC's: ACE CRC, Australia
# CFC: Mark Warner, University of Washington
# Citation: Rosenberg, M. and Rintoul, S. (unpublished) Aurora Australis Marine Science Cruises AU0803
#            and AU0806 - oceanographic field measurements and analysis. ACECRC, Hobart, unpublished report.
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FLUOR,FLUOR_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PAR,PAR_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,MG/M^3,,UMOL/KG,,UMOL/KG,,UMOL/KG,,VOLTS,
09AR20080322,       TEST,       1,          1,         24,         24,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.0,   2.0863,  34.7414,2,  34.6743,4,  -999.00,5,  178.55,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.025,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         23,         23,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.1,   2.0870,  34.7415,2,-999.0000,9,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.028,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         22,         22,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2204.2,   2.0883,  34.7413,2,-999.0000,9,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.029,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         21,         21,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.6,   2.0892,  34.7412,2,  34.7429,2,  -999.00,5,  188.93,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.028,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         20,         20,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2204.4,   2.0904,  34.7413,2,  34.7425,2,  -999.00,5,  188.85,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.026,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         19,         19,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.0,   2.0912,  34.7412,2,  34.7425,2,  -999.00,5,  189.54,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.025,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         18,         18,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2204.6,   2.0931,  34.7410,2,  34.7429,2,  -999.00,5,  188.72,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.029,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         17,         17,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.1,   2.0922,  34.7413,2,  34.7424,2,  -999.00,5,  188.72,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.026,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         16,         16,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2204.4,   2.0932,  34.7410,2,  34.7425,2,  -999.00,5,  188.72,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.027,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
