BOTTLE,20141024CCHSIOCBG
# Original header:
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W
# 20090522OOCNOCBAK
# There are 12 instances of the bottle quality flag being set to 10. These correspond to cases where there was something anomalous about the bottle closure. The samples are believed to be good. In 9 of these cases the shallowest bottle was at 5 metres depth andappeared to have closed normally. The CFC sampler reported that a dribble leaked out of the bottom tap when it was pushed in even though the top vent was still closed. 
# The CTD PRS;  TMP;  SAL;  OXY; data are all calibrated and good .
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,UMOL/KG,
740H20090307,       A095,       1,          1,          1,          1,2,20090308,       0918,  -36.33089,  -53.49829,        246,   242.5,   7.8295,  34.4464,  34.4468,2,    222.8,   221.2,3,    9.22,2,    1.48,2,    2138,2,  2284.4,2,   7.8054,   21.06,2
740H20090307,       A095,       1,          1,          4,          4,2,20090308,       0918,  -36.33089,  -53.49829,        246,   180.3,   9.7968,  34.7272,  34.7141,2,    204.5,   205.0,2,    7.86,2,    1.26,2,  2130.1,2,  2294.3,2,   9.7762,   17.87,2
740H20090307,       A095,       1,          1,          7,          7,2,20090308,       0918,  -36.33089,  -53.49829,        246,    87.9,   7.4715,  33.7075,  33.7110,2,    206.1,   202.0,2,    6.25,2,    1.61,2,    2138,2,  2245.2,2,   7.4632,   20.54,2
740H20090307,       A095,       1,          1,          9,          9,3,20090308,       0918,  -36.33089,  -53.49829,        246,    88.2,   7.4817,  33.7056,-999.0000,9,    206.1,  -999.0,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,9,   7.4734, -999.00,9
740H20090307,       A095,       1,          1,         10,         10,2,20090308,       0918,  -36.33089,  -53.49829,        246,    75.4,   7.9002,  33.6441,  33.6468,2,    212.9,   206.5,2,    5.74,9,    1.51,2,  2128.9,2,  -999.0,9,   7.8928,   18.98,2
740H20090307,       A095,       1,          1,         13,         13,3,20090308,       0918,  -36.33089,  -53.49829,        246,    49.8,  13.8334,  33.6790,-999.0000,9,    249.3,  -999.0,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,9,  13.8264, -999.00,9
740H20090307,       A095,       1,          1,         14,         14,2,20090308,       0918,  -36.33089,  -53.49829,        246,    50.0,  13.7088,  33.6719,  33.6718,2,    249.2,   246.2,2,    3.04,2,    0.62,2,  2029.1,2,  2250.1,2,  13.7018,    5.21,2
740H20090307,       A095,       1,          1,         17,         17,2,20090308,       0918,  -36.33089,  -53.49829,        246,    26.7,  20.7220,  33.6106,  33.6178,2,    229.0,   229.7,2,    1.73,2,    0.35,2,  1990.6,2,  2250.5,2,  20.7169,    0.02,2
740H20090307,       A095,       1,          1,         21,         21,2,20090308,       0918,  -36.33089,  -53.49829,        246,     6.6,  22.3989,  32.0130,  32.0425,2,    220.4,   220.1,2,    2.08,2,    0.47,2,  1934.4,2,  2173.2,2,  22.3976,    0.04,2
