BOTTLE,20170228PRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 12/16/11 Initialized README file  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data source: M. Hoppema 11/15/10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SHIP: Polarstern ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: ANT_XXII/3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: Far South Atlantic; A12/SR4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 06AQ20050122 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATES: 1/22 - 4/6/2005 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist: E. Fahrbach ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 141 stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hydro: Who - E. Fahrbach/AWI; Status -  final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Notes: Data from CTD SBE911plus	 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nuts: Who - H. de Baar/M. Hoppema; Status - final  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: Technicon TRAACS 800 rapid flow ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Precisions: phosphate 0.013 umol/L; nitrate 0.07 umol/L; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# silicate 0.66 umol/L; stock standards from NIOZ/Texel  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Final long term calibration data from S.van Heuven/K.Bakker 1/26/15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Few flag fixes 2/28/17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See Hoppema et al.,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# O2: Who - M. Hoppema; Status -  final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: From SBE43 sensor attached to CTD; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Standardized by appr. 5 Winklers per station ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comparison indicates that these CTDOXY values may be off by 2.5umol/kg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# see van Heuven et al.,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TCO2: Who - M.Hoppema; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: Adjusted to CRM batch 53 & 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CFC, H3, He3 expected from Oliver Huhn December,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
# Other: Who - Frank Dehairs/Brussel; Status -  final  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: Dissolved Ba measured with SF-ICP-MS  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# (Element 2 Thermo Finnigan). +/- 1.5% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# References: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hoppema, M., R. Middag, H.J.W. de Baar, E. Fahrbach, E.M. van Weerlee and H. Thomas, 2007. Whole season net community production in the Weddell Sea. Polar Biology 31: 101–111. doi: 10.1007/s00300-007-0336-5 ,,,,,,,,,,,,,,,,,,,,,,,
# Hoppema, M., F. Dehairs, J. Navez, C. Monnin, C. Jeandel, E. Fahrbach and H.J.W. de Baar, 2010. Barium distribution in the Weddell Gyre: Impact of circulation and biogeochemical processes. Marine Chemistry 122: 118-129.  ,,,,,,,,,,,,,,,,,,,,,,
# van Heuven, S.M.A.C, M. Hoppema, O. Huhn, H.A. Slagter and H.J.W. de Baar, Direct observation of increasing CO2 in the Weddell Gyre along the prime meridian during 1973-2008, Deep Sea Res II,58, 2613-2635, doi:10.1016/j.dsr2.2011.08.007,2011,,,,,,,,,,,,,,,,,,,
# Hoppema,Mario, Karel Bakker, Steven M.A.C. van Heuven,Jan C. van Ooijen and Hein J.W. de Baar. 2015. Long-term (1996-2011) accurate nutrients along a repeat section through the Weddell Sea: distributions, trends and inter-annual variability, To be submitted to Marine Chemistry.  ,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,BARIUM,BARIUM_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UM/KG,,DEG C
  06AQ20050122,  SR04,16,1,24,2,20050125,215,-41.134,9.9403,4577,2800.2,2.3435,34.8361,2,216.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1273
  06AQ20050122,  SR04,16,1,23,2,20050125,215,-41.134,9.9403,4577,2800,2.3434,34.8362,2,216.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1272
  06AQ20050122,  SR04,16,1,22,2,20050125,215,-41.134,9.9403,4577,2800,2.3437,34.8363,2,216.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1275
  06AQ20050122,  SR04,16,1,21,2,20050125,215,-41.134,9.9403,4577,2800.6,2.3441,34.8362,2,216,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1278
  06AQ20050122,  SR04,16,1,20,2,20050125,215,-41.134,9.9403,4577,2800.9,2.3437,34.8361,2,216.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1274
  06AQ20050122,  SR04,16,1,19,2,20050125,215,-41.134,9.9403,4577,2800.9,2.3444,34.8361,2,216.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1281
  06AQ20050122,  SR04,16,1,18,2,20050125,215,-41.134,9.9403,4577,2799.9,2.3436,34.8361,2,215.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1274
  06AQ20050122,  SR04,16,1,17,2,20050125,215,-41.134,9.9403,4577,2800.7,2.344,34.836,2,215.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1277
