BOTTLE,20170412CCHSIORJL
# Merged parameters: CH3Cl, CH3Cl_FLAG, CH3Br, CH3Br_FLAG, CH3I, CH3I_FLAG
# Merged parameters from A16S_MeX_HY1.csv (Submitted by Shari Yvon Lewis on 20080714)
# Merged parameters: HELIUM, HELIUM_FLAG_W, DELHE3, DELHE3_FLAG_W, NEON, NEON_FLAG_W, NEONER, HELIER, DELHER
# Merged parameters from LDEO_NGL_CliVarHeNe4CCHDO_A16S.xlsx (Submitted by R.Newton on 20150411)
# Merged parameters: TRITUM, TRITUM_FLAG_W, TRITER
# Merged parameters from LDEO_NGL_CliVarTritium4CCHDO_A16S.xlsx (Submitted by R.Newton on 20150413)
# Change CH3Cl to CH3L
# 20110831CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2011-08-31
#original HYD file: /data/co2clivar/atlantic/a16/a16s_2005a/original/2011.08.25_carbon_cberys/original_hy1.csv  2011-08-31
#BOTTLE,20100913CCHDOSIOCBG
#code:copy_exchange_bot.rb (J. Fields)
#citations added by A. Barna
#BOTTLE,20091030CCHDOSIOJCF
# code : Justin Fields merge_exchange.rb
#| PARAMETER/PROGRAM    Institution     Principal Investigator
#| ------------------------------------------------------------------
#| CTD                  PMEL/AOML       Greg Johnson/Molly Baringer
#| Salinity             PMEL            Greg Johnson
#| CFCs                 UW/PMEL         Mark Warner/John Bullister
#| HCFCs                TAMU            Shari Yvon-Lewis
#| DIC                  AOML/PMEL       Rik Wanninkhof/Dick Feely
#| Discrete pCO2        AOML            Rik Wanninkhof
#| Dissolved O2         RSMAS-U. Miami  Chris Langdon
#| Nutrients            UW/AOML         Calvin Mordy/Jia-Zhong Zhang
#| Helium/Tritium       LDEO            Peter Schlosser
#| CO2-Alkalinity       RSMAS-U. Miami  Frank Millero
#| CO2-pH               RSMAS-U. Miami  Frank Millero
#| DOC                  RSMAS-U. Miami  Dennis Hansell
#| CDOM                 UCSB            Norm Nelson/Craig Carlson
#| Underway pCO2        AOML            Rik Wanninkhof
#| 13C/14C              WHOI            Ann McNichol
#| ADCP/LADCP           U. Hawaii/LDEO  Eric Firing/Andreas Thurnherr
#| Aerosols             CWU             Anne Johansen
#| SAMI/CO2             U. Montana      Mike DeGrandpre
#| CO2 System Develop.  USF             Robert Byrne
#|
#| Following American Geophysical Union recommendations,
#| the data should be cited as: data provider(s), cruise name
#| or cruise ID, data file name(s) CLIVAR and Carbon Hydrographic
#| Data Office, La Jolla, CA USA," and data file date. For further
#| information", please contact one of the parties listed above or
#| cchdo@ucsd.edu. Users are also requested to acknowledge the
#| NSF/NOAA-funded U.S. Repeat Hydrography Program in publications
#| resulting from their use.
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,CTDRAW,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,HELIER,DELHER,CH3CL,CH3CL_FLAG,CH3Br,CH3Br_FLAG,CH3I,CH3I_FLAG
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,,,DEG C,TU,,TU,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,NMOL/KG,PMOL/KG,,UMOL/KG,,DBAR,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,,DEG C,PERCNT,PERCNT,PMOL/KG,,PMOL/KG,,PMOL/KG,
 33RO200501,       A16S,       1,          1,         22,         22,2,20050117,       1104,   -60.0157,   -30.8928,       2734,   799.1,   0.3853,  34.6807,2,-999.0000,9,    208.8,2,   208.2,2,  116.45,2,   32.61,2,    0.01,2,    2.53,4,   0.523,2,   0.264,2,   0.011,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.588,3, -999.00,9,  799.10,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.3489,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         24,         24,9,20050117,       1104,   -60.0157,   -30.8928,       2734,   799.3,   0.3860,  34.6807,2,-999.0000,9,    208.9,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9,  799.30,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.3495,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         23,         23,2,20050117,       1104,   -60.0157,   -30.8928,       2734,   799.3,   0.3858,  34.6807,2,-999.0000,9,    208.9,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  2265.3,2,  -999.0,9,  1130.9,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9,  799.30,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.3493,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         19,         19,2,20050117,       1104,   -60.0157,   -30.8928,       2734,   997.6,   0.3032,  34.6795,2,-999.0000,9,    211.4,2,   211.0,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   0.498,3,   0.236,2,   0.015,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.518,3, -999.00,9,  997.60,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.2566,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         21,         21,2,20050117,       1104,   -60.0157,   -30.8928,       2734,   997.6,   0.3032,  34.6795,2,-999.0000,9,    211.6,2,  -999.0,9,  118.85,2,   32.60,2,    0.00,2,    2.50,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2352.1,2,  -999.0,9,   20.00,   7.5887,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.57,2,  -149.3,2,     3.4,-999.000,9,-999.000,-999.000,9,   39.76,2,  997.60,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.2567,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         20,         20,9,20050117,       1104,   -60.0157,   -30.8928,       2734,   997.9,   0.3036,  34.6795,2,-999.0000,9,    211.6,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9,  997.90,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.2570,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         16,         16,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1197.8,   0.2129,  34.6771,2,-999.0000,9,    214.6,2,   213.7,2,  120.34,2,   32.63,2,    0.00,2,    2.40,4,   0.492,2,   0.253,2,   0.010,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,   0.049,2,    0.01,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.592,3, -999.00,9, 1197.80,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.1558,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         18,         18,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1197.9,   0.2132,  34.6771,2,  34.6771,2,    214.6,2,  -999.0,9,  120.23,2,   32.56,2,    0.01,2,    2.40,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2353.1,3,  -999.0,9,   20.00,   7.5914,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.58,2,  -152.5,2,     4.6,-999.000,9,-999.000,-999.000,9,   39.55,2, 1197.90,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.1561,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
