BOTTLE,20150715PRINUNIVRMK
# BOTTLE,20150709DFOBIOIY 
# BOTTLE,20150602DFOBIOIY 
# 6/29/2014 Initialized README file  
# Data source: Jeff Jackson 20150602; final update 20150709 
# SHIP: CCGS Martha L. Black 
# Cruise: AR07W; MLB2012001, 18MF12001 
# Region: Labrador Sea 
# EXPOCODE: 18MF20120601 
# DATES: 20120601 - 20120617 
# Chief Scientist: I. Yashayaev, BIO 
# 46 CTD stations 
# 36 stations with 24 place Rosette 
# Hydro: Who - I. Yashayaev; Status - final 
# 	Notes: 	 
# Nutrients: Who - K.Azetsu-Scott; Status - final 
# 	Notes: includes ammonium 
# O2: Who - I. Yashayaev; Status - final 
# 	Notes: Large number of bottle values flagged 3 
# TCO2: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - K.Azetsu-Scott; Status - final 
# 	Notes: noisy 
# pH: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Total H+ scale @ 25C 
# CFC: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# O18: Who - K.Azetsu-Scott; Status - unknown 
# 	Notes: no data in file 
# References that have used data from this cruise: 
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,,
  18MF20120601, AR07W,     2,  1, 380001,      1,2,20120601,1658, 44.2668, -63.3142,   67,    138.6,   9.3437,  34.4474,2,-999.0000,9,    153.3,2,    155.2,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1658
  18MF20120601, AR07W,     2,  1, 380002,      2,2,20120601,1658, 44.2668, -63.3142,   67,    138.8,   9.3389,  34.4477,2,-999.0000,9,    153.0,2,    155.4,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1658
  18MF20120601, AR07W,     2,  1, 380003,      3,2,20120601,1658, 44.2668, -63.3142,   67,    139.4,   9.3495,  34.4530,2,-999.0000,9,    152.8,2,    155.3,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
  18MF20120601, AR07W,     2,  1, 380004,      4,2,20120601,1658, 44.2668, -63.3142,   67,    139.1,   9.3477,  34.4526,2,-999.0000,9,    152.8,2,    155.2,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
  18MF20120601, AR07W,     2,  1, 380005,      5,2,20120601,1658, 44.2668, -63.3142,   67,    139.4,   9.3503,  34.4543,2,-999.0000,9,    152.2,2,    155.2,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
  18MF20120601, AR07W,     2,  1, 380006,      6,2,20120601,1658, 44.2668, -63.3142,   67,    138.9,   9.3464,  34.4523,2,-999.0000,9,    153.0,2,    155.4,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
  18MF20120601, AR07W,     2,  1, 380007,      7,2,20120601,1658, 44.2668, -63.3142,   67,    139.6,   9.3597,  34.4568,2,-999.0000,9,    152.4,2,    154.6,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
  18MF20120601, AR07W,     2,  1, 380008,      8,2,20120601,1658, 44.2668, -63.3142,   67,    139.4,   9.3554,  34.4557,2,-999.0000,9,    153.1,2,    154.8,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
  18MF20120601, AR07W,     2,  1, 380009,      9,2,20120601,1658, 44.2668, -63.3142,   67,    138.7,   9.3465,  34.4516,2,-999.0000,9,    152.9,2,    155.2,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00, 20120601,     1659
