BOTTLE,20170907CCHSIORJL
# Change FCO2_TMP to FCO2TMP
# BOTTLE,20160504PRINUNIVRMK
# 12/4/2012 Initialized README file  
# Data source: D.Munro for C. Sweeney via CDIAC 11/28/12 
# SHIP: RVIB Laurence M. Gould 
# Cruise: LMG200909 
# Region: Drake Passage; SR01 
# EXPOCODE:33LG20090916 
# DATES: 9/16 - 10/9/2009 
# Chief Scientist: Colm Sweeney 
# 24 stations with 24 place Rosette 
# Hydro: Who - C.Sweeney; Status - final 
# 	Notes: 	Final CTDSAL values from D.Munro 3/11/16 
# Nuts: Who -C.Sweeney; Status - final 
# 	Notes: data are not woce quality 
# 	Nitrate is really NO3+NO2 
# O2: Who - C.Sweeney;T.Newberger; Status - ? 
# 	Notes: No data in file 
# TCO2: Who - C.Sweeney;;T.Newberger Status - final 
# 	Notes: CRM batch 36 
# 	replicate precision ~1umol/kg 
# FCO2: Who - C.Sweeney; Status - final 
# 	Notes: 500ml samples measured at 20C, reported at in situ temperature 
# CFC: Who - ; Status - 
# 	Notes:  
# C14: Who - T.Guilderson; Status -final 
# 	Notes: P.Quay analyzed C13  
# References: 
# Graven, H. D., T.P. Guilderson, and R.F. Keeling, 2007. Methods for high precision measurements of atmospheric CO2 at LLNL. Radiocarbon, 49, 349-356. 
# Munro, D.R., Nicole S.Lovenduski , B.B.Stephens , T. Newberger, K.R.Arrigo, T. Takahashi, P.D.Quay, J. Sprintall, N.M.Freeman, and C. Sweeney, Estimates of net community production in the Southern Ocean determined from time series observations (2002-2011) of nutrients, dissolved inorganic carbon, and surface ocean pCO2 in Drake Passage, Deep-Sea Res. II, 114, 49-63, doi:/10.1016/j.dsr2.2014.12.014, 2015. 
# Munro, D.R. N.S. Lovenduski, T. Takahashi, B.B.Stephens, T.Newberger and C. Sweeney, Recent evidence for a strengthening CO2 sink in the Southern Ocean from carbon system measurements in the Drake Passage (2002-2015), Geophys. Res. Let, in review, doi:10.1002/2015GL065194, 2015. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,,/MILLE,/MILLE,,DEG C
  33LG20090916,  SR01,     1,  1,      1,      1,2,20090918,0448,-55.0000, -64.0980,  968,    957.8,   3.5690,  34.1800,2,  34.1840,2,    20.75,2,    29.71,2,     1.74,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   3.5005
  33LG20090916,  SR01,     1,  1,      2,      2,2,20090918,0452,-55.0000, -64.0980,  968,    859.7,   3.6660,  34.1380,2,  34.1420,2,    15.82,2,    27.74,2,     1.95,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   3.6046
  33LG20090916,  SR01,     1,  1,      3,      3,2,20090918,0454,-55.0000, -64.0980,  968,    803.2,   3.7530,  34.1210,2,  34.1250,2,    13.25,2,    27.97,2,     1.85,2,   2145.7,3,    420.8,2,    3.753,   -999.0,9,   -999.0,     1.14,2,   3.6955
  33LG20090916,  SR01,     1,  1,      4,      4,2,20090918,0500,-55.0000, -64.0980,  968,    606.5,   4.0050,  34.1220,2,  34.1260,2,    11.71,2,    26.42,2,     1.76,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   3.9613
  33LG20090916,  SR01,     1,  1,      5,      5,2,20090918,0503,-55.0000, -64.0980,  968,    506.0,   4.1610,  34.1250,2,  34.1300,2,    10.99,2,    26.89,2,     1.72,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   4.1243
  33LG20090916,  SR01,     1,  1,      6,      6,2,20090918,0507,-55.0000, -64.0980,  968,    408.1,   4.5610,  34.1160,2,  34.1200,2,     8.42,2,    25.15,2,     1.72,2,   -999.0,9,    399.6,2,    4.561,   -999.0,9,   -999.0,     1.27,2,   4.5304
  33LG20090916,  SR01,     1,  1,      7,      7,2,20090918,0510,-55.0000, -64.0980,  968,    304.2,   4.6860,  34.0930,2,  34.0960,2,     7.29,2,    24.04,2,     1.62,2,   2121.2,2,    392.8,2,    4.686,   -999.0,9,   -999.0,     1.20,2,   4.6632
  33LG20090916,  SR01,     1,  1,      8,      8,2,20090918,0513,-55.0000, -64.0980,  968,    228.0,   5.0140,  34.0320,2,  34.0570,2,     6.26,2,    22.97,2,     1.57,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   4.9964
  33LG20090916,  SR01,     1,  1,      9,      9,2,20090918,0514,-55.0000, -64.0980,  968,    199.1,   5.2880,  33.9600,2,  33.9740,2,     5.13,2,    21.68,2,     1.50,2,   2108.5,2,    384.3,2,    5.288,   -999.0,9,   -999.0,     1.30,2,   5.2723
  33LG20090916,  SR01,     1,  1,     10,     10,2,20090918,0517,-55.0000, -64.0980,  968,    150.7,   5.6970,  33.8500,2,  33.8610,2,     4.41,2,    20.51,2,     1.48,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   5.6847
  33LG20090916,  SR01,     1,  1,     11,     11,2,20090918,0519,-55.0000, -64.0980,  968,    100.5,   6.1770,  33.4360,2,  33.4540,2,     3.69,2,    18.15,2,     1.28,2,   2071.9,2,    373.3,2,    6.177,   -999.0,9,   -999.0,     1.39,2,   6.1685
  33LG20090916,  SR01,     1,  1,     12,     12,2,20090918,0523,-55.0000, -64.0980,  968,     82.1,   6.1920,  33.2930,2,  33.2720,2,     3.28,2,    17.18,2,     1.24,2,   2058.7,2,    369.1,2,    6.192,   -999.0,9,   -999.0,     1.38,2,   6.1851
  33LG20090916,  SR01,     1,  1,     13,     13,2,20090918,0525,-55.0000, -64.0980,  968,     40.2,   6.1570,  33.1040,2,  33.1260,2,     3.28,2,    17.00,2,     1.26,2,   2050.4,2,    366.7,2,    6.157,   -999.0,9,   -999.0,     1.39,2,   6.1537
  33LG20090916,  SR01,     1,  1,     14,     14,2,20090918,0526,-55.0000, -64.0980,  968,     25.5,   6.1290,  33.0500,2,  33.0390,2,     3.28,2,    16.82,2,     1.26,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   6.1269
  33LG20090916,  SR01,     1,  1,     15,     15,2,20090918,0528,-55.0000, -64.0980,  968,      9.2,   6.0660,  32.9460,2,-999.0000,9,     3.28,2,    16.89,2,     1.20,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   6.0652
  33LG20090916,  SR01,     1,  1,     16,     16,2,20090918,0528,-55.0000, -64.0980,  968,      5.2,   5.9860,  32.9010,2,-999.0000,9,     3.28,2,    14.83,2,     1.30,2,   2039.8,2,    362.2,2,    5.986,   -999.0,9,   -999.0,     1.34,2,   5.9856
  33LG20090916,  SR01,     1,  1,     17,     17,2,20090918,0528,-55.0000, -64.0980,  968,      4.2,   5.9980,  32.9020,2,-999.0000,9,     3.69,2,    16.66,2,     1.28,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   5.9977
  33LG20090916,  SR01,     2,  1,     18,      1,2,20090918,0849,-55.3320, -64.5000, 2600,   2590.1,   1.9600,  34.7000,3,  34.5940,2,   102.05,2,    35.10,2,     2.36,2,   2268.4,2,    543.5,2,     1.96,   -999.0,9,   -999.0,     0.35,2,   1.7724
  33LG20090916,  SR01,     2,  1,     19,      2,2,20090918,0858,-55.3320, -64.5000, 2600,   2232.7,   2.1280,  34.6830,3,  34.5730,2,    93.21,2,    34.93,2,     2.24,2,   -999.0,9,   -999.0,9,     -999,   -999.0,9,   -999.0,  -999.00,9,   1.9697
  33LG20090916,  SR01,     2,  1,     20,      3,2,20090918,0904,-55.3320, -64.5000, 2600,   2029.6,   2.2330,  34.6650,3,  34.5630,2,    75.95,2,    33.21,2,     2.32,2,   2258.0,2,    569.2,2,    2.233,   -999.0,9,   -999.0,     0.35,2,   2.0907
