BOTTLE,20130611PRINUNIVRMK
# 2/27/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# 2/24/2012 version of file with calibrated CTD data from Jeff Jackson 
# SHIP: CCGS Hudson 
# Cruise: HUD2007011 
# Region: Labrador Sea and off Halifax; AR07W 
# EXPOCODE: 18HU20070510 
# DATES: 5/10 - 5/27/2007 
# Chief Scientist: Ross Hendry 
# 53 stations with 24 place Rosette 
# Serious issue with station 112 values 
# Hydro: Who - I.Yashayaev; Status - final 
# 	Notes: Salt calibration with IAPSO Batch #147 
# 	Calibration check: 
# 	Bottle Salinity = 1.0054*CTDSAL + 0.1843; RSE=0.0025 
# Nuts: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Nitrate is NO3+NO2 
# 	Nutrients run in duplicate 
# O2: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Replicate analyses imply precision of ~3.5umol/kg 
# 	Calibration Check: 
# 	Bottle Oxygen = 1.0827*CTDOXY - 2.4172; RSE=2.535 
# TCO2: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - K.Azetsu-Scott; Status - final 
# 	Notes: significant scatter 
# CFC: Who - K.Azetsu-Scott; Status - final 
# 	Notes: includes CFC-113 and CCl4 
# 	All CCl4 flagged 3/4 
# Other:	I-129 no data in file 
# 	TOC no data in file 
# 	Ar,Kr,Xe,N2 no data in file 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  18HU20070510, AR07W,     3,  1, 309415,      1,2,20070510,1519, 47.5333, -52.5833,  176,    170.2,  -0.9075,  33.1450,2,-999.0000,9,    291.5,2,    311.3,2,    10.34,6,     9.49,6,     1.05,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309416,      2,2,20070510,1519, 47.5333, -52.5833,  176,    152.8,  -1.1385,  33.0534,2,-999.0000,9,    302.0,2,    321.4,2,     8.13,6,     8.92,6,     0.98,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2137.6,3,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309417,      3,2,20070510,1519, 47.5333, -52.5833,  176,    152.1,  -1.1356,  33.0534,2,-999.0000,9,    303.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    7.457,6,    4.155,6,    0.712,4,   10.266,4,    6.905,6,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309418,      4,2,20070510,1519, 47.5333, -52.5833,  176,    101.0,  -1.2640,  32.8004,2,-999.0000,9,    330.5,2,    351.2,2,     4.00,6,     5.12,6,     0.71,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309419,      5,2,20070510,1519, 47.5333, -52.5833,  176,     75.1,  -1.0667,  32.5895,2,-999.0000,9,    348.0,2,    374.4,2,     0.00,6,     1.63,6,     0.50,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2076.5,3,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309420,      6,2,20070510,1519, 47.5333, -52.5833,  176,     40.8,  -0.4785,  32.3748,2,-999.0000,9,    372.6,2,    400.1,2,     0.00,6,     0.12,6,     0.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309421,      7,2,20070510,1519, 47.5333, -52.5833,  176,     40.2,  -0.4842,  32.3781,2,-999.0000,9,    372.0,2,    404.5,2,     0.00,6,     0.10,6,     0.29,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2029.3,3,   2187.1,2
  18HU20070510, AR07W,     3,  1, 309422,      8,2,20070510,1519, 47.5333, -52.5833,  176,     30.8,   0.0389,  32.2649,2,-999.0000,9,    366.5,2,    393.9,2,     0.00,6,     0.12,6,     0.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309423,      9,2,20070510,1519, 47.5333, -52.5833,  176,     20.8,   0.8921,  32.0859,2,-999.0000,9,    361.0,2,    384.5,2,     0.00,6,     0.00,6,     0.27,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2005.2,3,   2176.7,2
