BOTTLE,20200106SIOCCHCBG
# Merged parameters: CTDOXY_FLAG_W
# Merged parameters: DELC14, DELC14_FLAG_W, C14ERR, 14C-DOC, 14C-DOC_FLAG_W, 14C-DOCERR, 13C-DOC, 13C-DOC_FLAG_W, 13C-DOCERR
# Merged parameters: BTLNBR, BTLNBR_FLAG_W, DEPTH
# Merged parameters: DELC13, DELC14, DELC14_FLAG_W, C14ERR, TCARBN_FLAG_W
# 20140127SIOCCHCBG
# Merged parameters: DELC13, DELC13_FLAG_W, DELC14, DELC14_FLAG_W, C14ERR
# Merged parameters: CFC-11, CFC-11_FLAG_W, CFC-12, CFC-12_FLAG_W, CCL4, CCL4_FLAG_W, SF6, SF6_FLAG_W
# Merged parameters: OXYGEN, OXYGEN_FLAG_W
# Merged parameters: DOC, DOC_FLAG_W, TDN, TDN_FLAG_W
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W, PH_SWS, PH_SWS_FLAG_W, PH_TMP
# 20140113CCHSIOCBG
# Merged parameters: SILCAT, SILCAT_FLAG_W, NITRAT, NITRAT_FLAG_W, NITRIT, NITRIT_FLAG_W, PHSPHT, PHSPHT_FLAG_W
# 20120821SIOCCHAMB
# Corrected Alkalinity citation
# BOTTLE,20120816SIOCCHAMB
# Added citation information
#BOTTLE,20120622CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2012-06-22
# updated TIME, CTDTMP, CTDPRS, CTDSAL, CTDOXY, SALNTY, SALNTY_FLAG_W, OXYGEN
# added CTDRAW, THETA
#BOTTLE,20111206CCHDOSIOCBG
#BOTTLE,20190719PRINUNIVRMK
# 7/16/2012 Initialized README file  
# Data source: CCHDO/CDIAC 
# SHIP: Ron Brown 
# Cruise: A10 
# Region: 30S across Atlantic 
# EXPOCODE:33RO20110926 
# DATES: 9/26 - 10/31/2011 
# Chief Scientist: M.Barringer;A.Macdonald 
# 120 stations with 24 place Rosette 
# Hydro: Who - K.McTaggart/ODF; Status - final 
#       Notes:   
# Nuts: Who - C.Mordy; Status - final 
#       Notes: Final data 1/14/14 
# O2: Who - C.Langdon; Status - final 
#       Notes: Revised data/flags rcd 7/8/13 from C.L. 
# TCO2: Who - R.Feely;R.Wanninkhof; Status - final 
#       Notes:  
# TA: Who - F. Millero; Status - final 
#       Notes:  
# pH: Who - F. Millero; Status - final 
#       Notes: SWS @ 25C 
#       Values are potentiometric, not spec. because of a problem with 
#               the spec. indicator 
# CFC: Who - J.Bullister; Status - final 
#       Notes: data from ullister 8/23/13 
# C14: Who - E.Druffel,R.Key,A.McNichol; Status - final
#       Notes: Surface samples run at NOSAMS 
#       Stations 35,54,67 14C-DOC, 13C-DOC
#               see Druffel et al. 2016. Merged 7/18/2019 
# H3/He3: Who - P.Schlosser/W.Jenkins; Status - being measured 
#       Notes:  
# Other: Who - ; Status - 
#       Notes:  
# References: 
# Druffel, E. R. M., S. Griffin, A.I. Coppola and B.D. Walker (2016),Radiocarbon in dissolved organic carbon of the Atlantic Ocean, Geophys. Res. Lett., 43, doi:10.100
#
#| CITATION:
#| These data were provided by:
#| 
#| Program                Affiliation   Principal Investigator   email
#| --------------------------------------------------------------------------------------------
#| Chief Scientist        NOAA/AOML     Molly Baringer           Molly.Baringer@noaa.gov
#| CTDO                   NOAA/PMEL     Gregory Johson           Gregory.C.Johnson@noaa.gov
#|                        NOAA/PMEL     Molly Baringer           Molly.Baringer@noaa.gov
#| Salinity               NOAA/AOML     Molly Baringer           Molly.Baringer@noaa.gov
#| Nutrients              NOAA/AOML     Jia-Zhong Zhang          Jia-Zhong.Zhang@noaa.gov
#|                        NOAA/PMEL     Calvin Mordy             Calvin.W.Mordy@noaa.gov
#| Data Processing        UCSD/SIO      James H. Swift           jswift@ucsd.edu
#| CFCs/SF6, CCL4         NOAA/PMEL     John Bullister           John.L.Bullister@noaa.gov
#| Total Alkalinity, pH   RSMAS/MAC     Frank Millero            fmillero@rsmas.miami.edu 
#| DOC/TDN                UCSB          Craig Carlson            carlson@lifesci.ucsb.edu
#| C14, C13               Princeton     Robert Key               401 Sayre Hall 
#|                                                               Princeton University
#|                                                               Princeton, NJ 08544 
#|                        WHOI          Ann McNichol             amcnichol@whoi.edu
#|    additional analyses UCI           Ellen Druffel            edruffel@uci.edu
#|
#| Following American Geophysical Union recommendations, the data should be
#| cited as: "data provider(s), cruise name or cruise ID, data file name(s),
#| CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data 
#| file date." For further information, please contact one of the parties
#| listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
#| the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
#| from their use.
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,14C-DOC,14C-DOC_FLAG_W,THETA,SIG0,SALTREF,SALTREF_FLAG_W,BLACKC,BLACKC_FLAG_W,PIGMENTS,PIGMENTS_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,,,DEG C,TU,,NMOL/KG,,/MILLE,,/MILLE,,/MILLE,PMOL/KG,,/MILLE,,UMOL/KG,,UMOL/KG,,DBAR,/MILLE,,DEG C,KG/M^3,G/KG,,,,,,/MILLE,/MILLE,,/MILLE
33RO20110926,        A10,       1,          2,          9,      11706,2,20110928,       0604,   -28.5128,    14.9492,        174,     4.7,  14.4560,  34.9876,2,  34.9891,2,    254.9,2,   260.6,2,     8.7,2,     4.9,2,    0.23,2,   0.620,2,   2.917,2,   1.678,2,   1.579,2,     2083.4,2,  2320.2,6,  -999.0,9, -999.00,   7.9158,6,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   3.207,3, -999.00,9,  64.3415,2,   10.02,2,    4.70,  -999.0,9,  14.4553,     26.079,    35.1541,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          8,      11033,2,20110928,       0604,   -28.5128,    14.9492,        174,    14.6,  14.4506,  34.9873,2,  34.9903,2,    255.3,2,   260.8,2,     8.7,2,     4.9,2,    0.22,2,   0.620,2,-999.000,5,-999.000,5,-999.000,5,     2084.6,6,  2319.6,2,  -999.0,9, -999.00,   7.9259,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,-999.000,5, -999.00,9,  65.7366,2,   11.33,2,   14.60,  -999.0,9,  14.4485,     26.082,    35.1553,6,     -999.0,9,     -999.0,9,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          7,      11705,2,20110928,       0604,   -28.5128,    14.9492,        174,    25.1,  14.4501,  34.9872,2,  34.9915,2,    255.7,2,   260.9,2,     8.7,2,     4.8,2,    0.23,2,   0.615,2,   2.894,2,   1.681,2,   1.623,2,     2084.7,2,  2318.8,2,  -999.0,9, -999.00,   7.9259,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   3.453,3, -999.00,9,  63.3951,2,   10.43,2,   25.10,  -999.0,9,  14.4464,     26.086,    35.1565,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          6,      11029,2,20110928,       0604,   -28.5128,    14.9492,        174,    51.5,  14.3265,  35.0131,2,  35.0147,2,    251.2,2,   251.5,2,     7.8,6,     5.4,6,    0.27,6,   0.674,6,   2.867,2,   1.671,2,   1.660,2,     2094.5,2,  2320.4,2,  -999.0,9, -999.00,   7.9088,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   3.026,3, -999.00,9,       62,2,   13.34,2,   51.50,  -999.0,9,  14.3189,     26.132,    35.1798,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          5,      11704,2,20110928,       0604,   -28.5128,    14.9492,        174,    75.9,  12.4322,  34.9889,2,  34.9932,2,    204.4,2,   207.1,2,     7.5,2,    13.8,2,    0.14,2,   1.045,2,   3.018,2,   1.720,2,   1.397,2,     2135.5,2,  -999.0,5,  -999.0,9, -999.00,   7.7916,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   1.919,3, -999.00,9,  56.3512,2,   19.99,2,   75.90,  -999.0,9,  12.4221,     26.509,    35.1583,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          4,      11030,2,20110928,       0604,   -28.5128,    14.9492,        174,    99.0,  10.8527,  34.8840,2,  34.8874,2,    200.7,2,   199.5,2,     6.8,2,    16.3,2,    0.06,2,   1.150,2,   3.173,2,   1.761,2,   1.232,2,       2145,2,  2302.1,2,  -999.0,9, -999.00,   7.7515,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   1.089,3, -999.00,9,  46.2049,2,   19.71,2,   99.00,  -999.0,9,  10.8407,     26.718,    35.0519,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          3,      11703,2,20110928,       0604,   -28.5128,    14.9492,        174,   125.0,  10.4679,  34.8420,2,  34.8406,2,    196.7,2,   193.5,2,     8.0,2,    17.9,2,    0.06,2,   1.253,2,   3.182,2,   1.743,2,   1.168,2,     2152.7,2,  2301.8,2,  -999.0,9, -999.00,   7.7214,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   1.178,3, -999.00,9,  46.2244,2,   21.30,2,  125.00,  -999.0,9,  10.4530,     26.750,    35.0049,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          2,      11702,2,20110928,       0604,   -28.5128,    14.9492,        174,   152.3,   9.9705,  34.7920,2,  34.7957,2,    153.7,2,   152.5,2,    12.4,6,    22.0,6,    0.03,6,   1.566,6,   3.023,2,   1.665,2,   1.052,2,     2187.3,2,  2298.8,2,  -999.0,9, -999.00,   7.6444,2,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   1.219,3, -999.00,9,  49.1122,2,   27.29,2,  152.30,  -999.0,9,   9.9530,     26.800,    34.9598,2,     -999.0,9,     -999.0,1,     -999.0,     -999.0,9,     -999.0
33RO20110926,        A10,       1,          2,          1,      11701,2,20110928,       0604,   -28.5128,    14.9492,        174,   169.2,   9.9300,  34.7869,2,  34.7868,2,    153.6,2,     153,2,    12.6,2,    21.7,2,    0.04,2,   1.575,2,   3.036,6,   1.681,6,   1.070,6,       2189,2,    2296,4,  -999.0,9, -999.00,   7.6339,6,       25,-999.000,9,-999.0000,9, -999.00,9,  -999.0,9,  -999.0,   1.140,3, -999.00,9,  48.1659,2,   27.34,2,  169.20,  -999.0,9,   9.9105,     26.801,    34.9508,2,     -999.0,9,     -999.0,9,     -999.0,     -999.0,9,     -999.0
