BOTTLE,20200127CCHSIOCBG
# Merged parameters: DELC13, DELC13_FLAG_W
# 20190508CCHSIOCBG
# Merged parameters: DOC, DOC_FLAG_W, TDN, TDN_FLAG_W
# 20170516CCHSIOCBG
# Merged parameters: CTDPRS, CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-11_FLAG_W, CFC-12, CFC-12_FLAG_W, CFC113, CFC113_FLAG_W, SF6, SF6_FLAG_W, TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W, PH_SWS, PH_SWS_FLAG_W, PH_TMP, SALTREF, CH4, CH4_FLAG_W, SBE35, SBE35_FLAG_W
# 20160405CCHSIOCBG
# removed non-US-GOSHIP parameters
# BOTTLE,20160119ODF
# BOTTLE,20160606PRINUNIVRMK
# BOTTLE,20180110PRINUNIVRMK
# BOTTLE,20180816PRINUNIVRMK
# 3/10/2016 Initialized README file  
# Data source: CTD - cchdo.ucsd.edu/cruise/32H120150809 
#       Bottle data CCHDO 4/6/16 
# SHIP: Healy 
# Cruise: HLY1502, GN01, ARC01 
# Region: Arctic 
# EXPOCODE: 33HQ20150809 
# DATES: 20150809 - 20151012 
# Chief Scientist: D. Kadko 
# 62 stations 
# Hydro: Who - ODF; Status - final 
#       Notes:   
# S-M_DEPTH IS SAUNDERS-MANTYLA DEPTH (INTEGRATED, USES DYNAMIC HEIGHT) 
# F-M_DEPTH IS FOFONOFF-MILLARD DEPTH (NON-INTEGRATED, ALSO USED BY SBE) 
# CTDDEPTH REPORTED HERE IS NON-INTEGRATED FOFONOFF-MILLARD DEPTH 
# Nutrients: Who - ODF; Status - final 
#       Notes: 
# O2: Who - ODF; Status - final 
#       Notes: 
# CFC: Who - W.Smethie; D.Ho; Status - final 
#       Notes: from CCHDO 3/2/17 
#       Includes SF6 
# TCO2: Who - F.Millero; Status - final 
#       Notes: final data 5/5/16 
#       Final revised flags 6/6/16 
# Alk: Who - F.Millero; Status - final 
#       Notes: final data 5/5/16 
#       Final revised flags 6/6/16 
# pH  Who - F.Millero; Status - final 
#       Notes:SWS @ 25C 
#       final data 5/5/16 
#       Final revised flags 6/6/16 
# C14: Who - R.Key,A.McNichol; Status - collected 
#       Notes:  
# C13: Who - P.Quay; Status - final 
#       Notes: data rcd. 8/7/19  
#       QC/Merged 8/14/19 RMK 
# H3/He3: Who - P.Schlosser; Status - collected 
#       Notes:  
# O18: Who - P.Schlosser; Status - collected 
#       Notes:  
# DOC/TDN: Who - D.Hansell; Status - final 
#       Notes: data rcd 12/13/17 
#       Merged 1/10/18 
# Other: Who - ; Status - 
#       Notes:  
# References that have used data from this cruise: 
#
#
# Principal Investigators 
# Program                   Affiliation         Principal Investigator   Email                    
# ========================  ==================  =======================  ===========================
# *CTDO* Data, Salinity,    *SIO*               Jim Swift, Susan Becker  jswift@ucsd.edu,         
# Nutrients, Dissolved O2                                                sbecker@ucsd.edu         
# Total CO2 (DIC), Total    *UM*, *RSMAS*       Frank Millero, Ryan      fmillero@rsmas.miami.edu,
# Alkalinity, pH, Density                       Woosley                  rwoosley@fsmas.miami.edu 
# 3He, 3H, Î´18O             *LDEO*              Peter Schlosser          schlosser@ldeo.columbia.edu  
# *CFCs*, SF6               *LDEO*              William Smethie,         bsmeth@ldeo.columbia.edu,
#                                               David Ho                 ho@hawaii.edu            
# 13C/14C                   *UW*                Paul Quay                pdquay@u.washington.edu  
# DOC                       *RSMAS*             Dennis Hansell           dhansell@rsmas.miami.edu 
# Transmissometry           *TAMU*              Wilf Gardner             wgardner@ocean.tamu.edu  
# Chipod                    *OSU*               Jonathan Nash            nash@coas.oregonstate.edu
# *UVP*                     *UAF*               Andrew McDonnell         amcdonnell@alaska.edu    
# STARC Support             *SIO*               Brett Hembrough          bhembrough@ucsd.edu  
#
# Data Citation
#|  Following American Geophysical Union recommendations, the data should be
#|  cited as: "data provider(s), cruise name or cruise ID, data file name(s),
#|  CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data 
#|  file date." For further information, please contact one of the parties
#|  listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
#|  the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
#|  from their use.
#|
#|  The data included in these files are preliminary, and are
#|  subject to final calibration and processing. They have been
#|  made available for public access as soon as possible following
#|  their collection.  Users should maintain caution in their
#|  interpretation and use.
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CH4,CH4_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,GEOTR_EVENT,GEOTR_SAMPNO,CTDDEPTH,SALTREF,SALTREF_FLAG_W,REFTMP,REFTMP_FLAG_W,DELO17,DELO17_FLAG_W,METHANE,METHANE_FLAG_W,LAB_DEN,LAB_DEN_FLAG_W,SBE35,SBE35_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,/MILLE,,UMOL/KG,,UMOL/KG,,NMOL/KG,,,,,,,,METERS,G/KG,,ITS-90,,/MILLE,,NMOL/L,,,,ITS-90,
33HQ20150809,      ARC01,       1,          2,         12,     NIS-12,2,20150812,       1813,     60.252,  -179.0655,        750,     4.0,   9.8011,  32.8986,2,  32.9013,2,    290.1,2,   289.0,2,    4.59,2,    9.74,2,    0.16,2,    1.12,2,   3.684,2,   2.161,2,   0.323,2,    2.62,2,  2048.6,2,  2238.5,2,   7.8669,2,    25.00,-999.000,1,-999.0000,1, -999.00,1,    1.46,2,  -999.0,1, -999.00,1,    61.0,2,   13.15,2,       3.36,2, 20150812,     1854,  60.2602,-179.0348,       6010,      10494,          4,    33.0565,2,     9.7975,2,     -999.0,9,     3.3553,2,     -999.0,9,   9.7975,2
33HQ20150809,      ARC01,       1,          2,         11,     NIS-11,2,20150812,       1813,     60.252,  -179.0655,        750,    25.2,   9.7800,  32.8957,2,  32.9005,2,    288.6,2,   289.1,2,    4.69,2,    9.76,2,    0.16,2,    1.15,2,   3.684,2,   2.158,2,   0.324,2,   2.592,2,  2046.2,2,  2235.3,2,   7.8524,2,    25.00,-999.000,1,-999.0000,1, -999.00,1,    1.44,2,  -999.0,1, -999.00,1,    58.2,2,   14.10,2,       3.35,2, 20150812,     1851,  60.2595,-179.0372,       6010,      10495,         25,    33.0556,2,     9.7804,2,     -999.0,9,     3.3527,2,     -999.0,9,   9.7804,2
33HQ20150809,      ARC01,       1,          2,         10,     NIS-10,2,20150812,       1813,     60.252,  -179.0655,        750,    45.2,   4.6918,  32.9153,2,  32.9191,2,    308.0,2,   307.7,2,   22.38,2,   18.27,2,    0.32,2,    1.72,2,   4.704,2,   2.671,2,   0.427,2,   3.141,2,  2093.6,2,  2230.0,2,-999.0000,5,  -999.00,-999.000,1,-999.0000,1, -999.00,1,    0.75,2,  -999.0,1, -999.00,1,    54.6,2,   23.77,2,       3.56,2, 20150812,     1848,  60.2589,-179.0392,       6010,      10496,       44.7,    33.0744,2,     4.6709,4,     -999.0,9,     3.5597,2,     -999.0,9,   4.6709,4
33HQ20150809,      ARC01,       1,          2,          9,      NIS-9,3,20150812,       1813,     60.252,  -179.0655,        750,    76.2,   3.5909,  33.0030,2,  33.0035,2,    291.6,2,   289.9,2,   41.93,2,   25.24,2,    0.12,2,    1.99,2,   4.708,2,   2.732,2,   0.418,2,   3.115,2,  2132.8,3,  2230.2,2,   7.8712,2,    25.00,-999.000,1,-999.0000,1, -999.00,1,    0.38,2,  -999.0,1, -999.00,1,    53.6,2,   26.88,2,       4.00,2, 20150812,     1845,  60.2583,-179.0417,       6010,      10497,       75.5,    33.1591,2,     3.5923,2,     -999.0,9,     3.9964,2,     -999.0,9,   3.5923,2
33HQ20150809,      ARC01,       1,          2,          8,      NIS-8,2,20150812,       1813,     60.252,  -179.0655,        750,   101.2,   3.2061,  33.0464,2,  33.0488,2,    290.8,2,   291.3,2,   45.83,2,   26.19,2,    0.06,2,    2.07,2,   4.825,6,   2.746,6,   0.427,6,   3.047,6,  2138.9,2,  2231.8,2,   7.5938,6,    25.00,-999.000,1,-999.0000,1, -999.00,1,    0.31,2,  -999.0,1, -999.00,1,    52.3,2,   29.61,2,       4.10,2, 20150812,     1842,  60.2577,-179.0438,       6010,      10498,      100.2,    33.2047,2,     3.1863,4,     -999.0,9,     4.0953,2,     -999.0,9,   3.1863,4
33HQ20150809,      ARC01,       1,          2,          7,      NIS-7,2,20150812,       1813,     60.252,  -179.0655,        750,   150.7,   2.6657,  33.0852,2,  33.0939,2,    297.2,2,   296.3,2,   48.27,2,   26.81,2,    0.02,2,    2.10,2,   4.934,2,   2.857,2,   0.432,2,   3.132,2,  2144.0,2,  2234.7,2,-999.0000,5,  -999.00,-999.000,1,-999.0000,1, -999.00,1,    0.30,2,  -999.0,1, -999.00,1,    52.5,2,   28.14,2,       3.83,2, 20150812,     1839,  60.2571,-179.0462,       6010,      10499,      149.2,    33.2499,2,     2.6666,2,     -999.0,9,     3.8311,2,     -999.0,9,   2.6666,2
33HQ20150809,      ARC01,       1,          2,          6,      NIS-6,2,20150812,       1813,     60.252,  -179.0655,        750,   179.9,   2.5859,  33.1106,2,  33.0981,2,    297.9,2,   297.3,2,   47.98,2,   26.71,2,    0.02,2,    2.11,2,   4.931,2,   2.853,2,   0.438,2,   3.261,2,  2146.2,2,  2233.6,2,   7.5859,2,    25.00,-999.000,1,-999.0000,1, -999.00,1,    0.33,2,  -999.0,1, -999.00,1,    54.6,2,   29.06,2,       3.82,2, 20150812,     1836,  60.2562,-179.0491,       6010,      10500,      178.1,    33.2542,2,     2.5714,2,     -999.0,9,     3.8205,2,     -999.0,9,   2.5714,2
33HQ20150809,      ARC01,       1,          2,          5,      NIS-5,2,20150812,       1813,     60.252,  -179.0655,        750,   253.8,   3.7824,  33.4147,2,  33.4078,2,    171.8,2,   171.6,2,   70.05,2,   34.04,2,    0.02,2,    2.58,2,   3.567,2,   1.998,2,   0.266,2,   1.839,2,  2225.3,3,  2245.9,2,   7.4137,4,    25.00,-999.000,1,-999.0000,1, -999.00,1,   -0.26,2,  -999.0,1, -999.00,1,    48.8,2,   35.79,2,       4.24,2, 20150812,     1832,  60.2555,-179.0516,       6010,      10501,      251.3,    33.5653,2,     3.7601,4,     -999.0,9,     4.2387,2,     -999.0,9,   3.7601,4
33HQ20150809,      ARC01,       1,          2,          4,      NIS-4,2,20150812,       1813,     60.252,  -179.0655,        750,   356.3,   3.8485,  33.6854,2,  33.6756,2,    104.1,2,   100.0,2,   87.13,2,   38.90,2,    0.02,2,    2.84,2,   2.622,2,   1.432,2,   0.192,2,    1.27,2,  2281.4,6,  2286.1,2,-999.0000,5,  -999.00,-999.000,1,-999.0000,1, -999.00,1,   -0.58,2,  -999.0,1, -999.00,1,    49.9,2,   41.85,2,       5.53,2, 20150812,     1827,  60.2544,-179.0565,       6010,      10502,      352.7,    33.8344,2,     3.8465,2,     -999.0,9,     5.5345,2,     -999.0,9,   3.8465,2
