BOTTLE,20081007CCHDOSIODBK
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BLTNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CTDFLUORO,CTDFLUORO_FLAG_W,CTDPAR,CTDPAR_FLAG_W,CTDTRANS,CTDTRANS_FLAG_W,AMMONIA,AMMONIA_FLAG_W,NITRIT,NITRIT_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS78,,PSS78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,,,,,UMOL/KG,,UMOL/KG,
  09AR20070117,  SR03,     1,  1,     24,     24,2,20070119,1203,-43.8413, 144.7352, 3176,      9.0,  15.1571,  35.2346,2,  35.2229,2,   267.28,2,   267.71,2,      0.3,2,     0.52,2,     0.17,2,    1.555,2,    0.002,2,    0.918,2,     0.03,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     23,     23,2,20070119,1203,-43.8413, 144.7352, 3176,      9.0,  15.1940,  35.2287,2,  35.2302,2,   267.28,2,   270.05,2,      0.3,2,     0.48,2,     0.17,2,    1.479,2,    0.002,2,    0.919,2,     0.06,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     22,     22,2,20070119,1203,-43.8413, 144.7352, 3176,     48.3,  14.8685,  35.4254,2,  35.4245,2,   255.54,2,   254.21,2,      0.6,2,     0.85,2,     0.19,2,    0.990,2,    0.002,2,    0.957,2,     0.17,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     21,     21,2,20070119,1203,-43.8413, 144.7352, 3176,     48.1,  14.8413,  35.4196,2,  35.4206,2,   255.54,2,   253.43,2,      0.6,2,     0.88,2,     0.19,2,    0.853,2,    0.002,2,    0.958,2,     0.18,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     20,     20,2,20070119,1203,-43.8413, 144.7352, 3176,     99.1,  12.6302,  35.2018,2,  35.2030,2,   251.58,2,   241.86,2,      2.6,2,     8.24,2,     0.58,2,    0.122,2,    0.002,2,    0.976,2,     0.03,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     19,     19,2,20070119,1203,-43.8413, 144.7352, 3176,     98.9,  12.5426,  35.1920,2,  35.1975,2,   249.81,2,   241.57,2,      2.7,2,     8.61,2,     0.59,2,    0.086,2,    0.002,2,    0.976,2,     0.02,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     18,     18,2,20070119,1203,-43.8413, 144.7352, 3176,    150.6,  11.7218,  35.0791,2,  35.0803,2,   237.71,2,   242.23,2,      3.4,2,    10.23,2,     0.71,2,    0.044,2,    0.002,2,    0.978,2,     0.03,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     17,     17,2,20070119,1203,-43.8413, 144.7352, 3176,    150.2,  11.7193,  35.0795,2,  35.0795,2,   237.71,2,   241.35,2,      4.2,2,    10.44,2,     0.72,2,    0.048,2,    0.002,2,    0.978,2,     0.02,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     16,     16,2,20070119,1203,-43.8413, 144.7352, 3176,    198.3,  11.0873,  34.9853,2,  34.9894,2,   240.68,2,   242.61,2,      3.2,2,    11.47,2,     0.86,2,    0.022,2,    0.002,2,    0.978,2,     0.00,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     15,     15,2,20070119,1203,-43.8413, 144.7352, 3176,    198.6,  11.0753,  34.9834,2,  34.9898,2,   240.68,2,   242.51,2,      3.0,2,    11.62,2,     0.81,2,    0.014,2,    0.002,2,    0.979,2,     0.01,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     14,     14,2,20070119,1203,-43.8413, 144.7352, 3176,    249.5,  10.5195,  34.9055,2,  34.8979,2,   237.73,2,   232.47,2,      4.3,2,    14.04,2,     0.98,2,   -0.037,2,    0.002,2,    0.980,2,     0.02,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     13,     13,2,20070119,1203,-43.8413, 144.7352, 3176,    301.7,   9.5732,  34.7397,2,  34.7333,2,   255.62,2,   245.12,2,      5.0,2,    15.65,2,     1.06,2,   -0.034,2,    0.002,2,    0.979,2,     0.00,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     12,     12,2,20070119,1203,-43.8413, 144.7352, 3176,    401.8,   8.5104,  34.5565,2,  34.5588,2,   264.08,2,   263.62,2,      4.8,2,    16.71,2,     1.12,2,   -0.050,2,    0.002,2,    0.982,2,     0.03,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     11,     11,2,20070119,1203,-43.8413, 144.7352, 3176,    500.3,   7.8102,  34.4568,2,  34.4593,2,   257.56,2,   257.38,2,      6.3,2,    20.01,2,     1.29,2,   -0.052,2,    0.002,2,    0.982,2,     0.00,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,     10,     10,2,20070119,1203,-43.8413, 144.7352, 3176,    600.3,   7.1235,  34.4003,2,  34.4004,2,   235.94,2,   237.02,2,     10.1,2,    22.68,2,     1.48,2,   -0.051,2,    0.002,2,    0.982,2,     0.04,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,      9,      9,2,20070119,1203,-43.8413, 144.7352, 3176,    701.9,   6.9764,  34.4828,2,  34.4840,2,   205.18,2,   198.53,2,     17.4,2,    25.71,2,     1.69,2,   -0.046,2,    0.002,2,    0.982,2,     0.02,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,      8,      8,2,20070119,1203,-43.8413, 144.7352, 3176,    799.0,   6.2651,  34.4658,2,  34.4671,2,   194.22,2,   190.34,2,     25.0,2,    27.37,2,     1.89,2,   -0.044,2,    0.002,2,    0.982,2,     0.01,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,      7,      7,2,20070119,1203,-43.8413, 144.7352, 3176,    898.3,   5.4641,  34.4451,2,  34.4473,2,   188.03,2,   186.24,2,     32.1,2,    28.81,2,     2.01,2,   -0.046,2,    0.002,2,    0.982,2,     0.03,2,  -999.00,9
  09AR20070117,  SR03,     1,  1,      6,      6,2,20070119,1203,-43.8413, 144.7352, 3176,    999.0,   4.5009,  34.4026,2,  34.4047,2,   190.18,2,  -999.00,9,     38.6,2,    30.91,2,     2.10,2,   -0.042,2,    0.002,2,    0.983,2,     0.01,2,  -999.00,9
